size 50 15
tileset cave
visibilityRadius 6
unexplored


encounter "drakes_king" 34 9
encounter "drakes_lvl14" 9 11
encounter "drakes_lvl14" 21 3

item 1 "chest_lock_lvl15" 37 11
item 1 "chest_weapon_superb" 36 12
item 1 "armorstand_superb" 35 12

tile 0 40 14 layer0/lava1
tile 0 39 14 layer0/lava1
tile 0 38 14 layer0/lava1
tile 0 37 14 layer0/lava4
tile 0 36 14 layer0/lava1
tile 0 35 14 layer0/lava2
tile 0 34 14 layer0/lava3
tile 0 33 14 layer0/lava3
tile 0 32 14 layer0/lava3
tile 0 31 14 layer0/lava3
tile 0 30 14 layer0/lava1
tile 0 29 14 layer0/lava4
tile 0 28 14 layer0/lava3
tile 0 27 14 layer0/lava2
tile 0 26 14 layer0/lava3
tile 0 25 14 layer0/lava1
tile 0 24 14 layer0/lava3
tile 0 23 14 layer0/lava1
tile 0 22 14 layer0/lava1
tile 0 21 14 layer0/lava1
tile 0 20 14 layer0/lava3
tile 0 19 14 layer0/lava1
tile 0 18 14 layer0/lava4
tile 0 17 14 layer0/lava2
tile 0 16 14 layer0/lava1
tile 0 15 14 layer0/lava4
tile 0 14 14 layer0/lava4
tile 0 13 14 layer0/lava3
tile 0 12 14 layer0/lava1
tile 0 11 14 layer0/lava3
tile 0 10 14 layer0/lava1
tile 0 9 14 layer0/lava4
tile 0 8 14 layer0/lava1
tile 0 7 14 layer0/lava4
tile 0 6 14 layer0/lava1
tile 0 5 14 layer0/lava1
tile 0 4 14 layer0/lava2
tile 0 3 14 layer0/lava2
tile 0 2 14 layer0/lava1
tile 0 1 14 layer0/lava1
tile 0 0 14 layer0/lava2
tile 0 40 13 layer0/lava3
tile 0 39 13 layer0/lava1
tile 0 38 13 layer0/lava3
tile 0 37 13 layer0/lava3
tile 0 36 13 layer0/lava3
tile 0 35 13 layer0/lava4
tile 0 34 13 layer0/lava4
tile 0 33 13 layer0/lava4
tile 0 32 13 layer0/lava2
tile 0 31 13 layer0/lava3
tile 0 30 13 layer0/lava4
tile 0 29 13 layer0/lava4
tile 0 28 13 layer0/lava3
tile 0 27 13 layer0/lava1
tile 0 26 13 layer0/lava1
tile 0 25 13 layer0/lava2
tile 0 24 13 layer0/lava3
tile 0 23 13 layer0/lava4
tile 0 22 13 layer0/lava3
tile 0 21 13 layer0/lava4
tile 0 20 13 layer0/lava3
tile 0 19 13 layer0/lava1
tile 0 18 13 layer0/lava4
tile 0 17 13 layer0/lava1
tile 0 15 13 layer0/lava2
tile 0 14 13 layer0/lava4
tile 0 13 13 layer0/lava2
tile 0 12 13 layer0/floor
tile 0 11 13 layer0/lava3
tile 0 10 13 layer0/floor
tile 0 9 13 layer0/lava3
tile 0 8 13 layer0/lava1
tile 0 7 13 layer0/lava3
tile 0 6 13 layer0/lava4
tile 0 5 13 layer0/lava3
tile 0 4 13 layer0/lava4
tile 0 3 13 layer0/lava1
tile 0 2 13 layer0/lava4
tile 0 1 13 layer0/lava1
tile 0 0 13 layer0/lava4
tile 0 49 12 layer0/floor
tile 0 48 12 layer0/floor
tile 0 40 12 layer0/lava3
tile 0 39 12 layer0/lava1
tile 0 38 12 layer0/lava3
tile 0 37 12 layer0/lava4
tile 0 36 12 layer0/floor
tile 0 35 12 layer0/floor4
tile 0 34 12 layer0/floor
tile 0 33 12 layer0/lava1
tile 0 32 12 layer0/floor
tile 0 31 12 layer0/lava4
tile 0 30 12 layer0/lava2
tile 0 29 12 layer0/lava1
tile 0 28 12 layer0/lava2
tile 0 27 12 layer0/lava2
tile 0 26 12 layer0/lava4
tile 0 25 12 layer0/lava2
tile 0 24 12 layer0/lava3
tile 0 23 12 layer0/lava2
tile 0 22 12 layer0/lava4
tile 0 21 12 layer0/lava2
tile 0 20 12 layer0/lava2
tile 0 19 12 layer0/lava1
tile 0 18 12 layer0/floor
tile 0 16 12 layer0/floor
tile 0 15 12 layer0/floor5
tile 0 14 12 layer0/floor
tile 0 13 12 layer0/floor
tile 0 12 12 layer0/floor
tile 0 11 12 layer0/floor
tile 0 10 12 layer0/floor5
tile 0 9 12 layer0/floor
tile 0 8 12 layer0/floor3
tile 0 7 12 layer0/floor
tile 0 6 12 layer0/lava4
tile 0 5 12 layer0/lava4
tile 0 4 12 layer0/lava2
tile 0 3 12 layer0/lava2
tile 0 2 12 layer0/lava1
tile 0 1 12 layer0/lava2
tile 0 0 12 layer0/lava2
tile 0 49 11 layer0/floor6
tile 0 48 11 layer0/floor
tile 0 47 11 layer0/floor4
tile 0 46 11 layer0/floor5
tile 0 41 11 layer0/lava2
tile 0 40 11 layer0/lava4
tile 0 39 11 layer0/lava4
tile 0 38 11 layer0/lava1
tile 0 37 11 layer0/floor
tile 0 36 11 layer0/floor
tile 0 35 11 layer0/floor
tile 0 34 11 layer0/floor6
tile 0 33 11 layer0/floor2
tile 0 32 11 layer0/floor
tile 0 31 11 layer0/floor5
tile 0 30 11 layer0/floor
tile 0 29 11 layer0/lava4
tile 0 28 11 layer0/lava2
tile 0 27 11 layer0/lava4
tile 0 26 11 layer0/floor
tile 0 25 11 layer0/lava2
tile 0 24 11 layer0/lava3
tile 0 23 11 layer0/lava4
tile 0 22 11 layer0/lava3
tile 0 21 11 layer0/lava2
tile 0 20 11 layer0/floor5
tile 0 19 11 layer0/floor5
tile 0 18 11 layer0/floor
tile 0 17 11 layer0/floor
tile 0 16 11 layer0/floor6
tile 0 15 11 layer0/floor
tile 0 14 11 layer0/floor5
tile 0 13 11 layer0/floor
tile 0 12 11 layer0/floor
tile 0 11 11 layer0/floor
tile 0 10 11 layer0/floor2
tile 0 9 11 layer0/floor
tile 0 8 11 layer0/floor2
tile 0 7 11 layer0/floor
tile 0 6 11 layer0/lava3
tile 0 5 11 layer0/lava4
tile 0 4 11 layer0/lava4
tile 0 3 11 layer0/lava3
tile 0 2 11 layer0/lava2
tile 0 1 11 layer0/lava2
tile 0 0 11 layer0/lava3
tile 0 49 10 layer0/floor6
tile 0 48 10 layer0/floor
tile 0 47 10 layer0/floor
tile 0 46 10 layer0/floor
tile 0 45 10 layer0/floor
tile 0 44 10 layer0/floor6
tile 0 41 10 layer0/lava3
tile 0 40 10 layer0/lava1
tile 0 39 10 layer0/lava3
tile 0 38 10 layer0/lava4
tile 0 37 10 layer0/floor
tile 0 36 10 layer0/floor
tile 0 35 10 layer0/floor
tile 0 34 10 layer0/floor5
tile 0 33 10 layer0/floor
tile 0 32 10 layer0/floor
tile 0 31 10 layer0/floor2
tile 0 30 10 layer0/floor
tile 0 29 10 layer0/floor
tile 0 28 10 layer0/floor
tile 0 27 10 layer0/floor
tile 0 26 10 layer0/floor3
tile 0 25 10 layer0/lava4
tile 0 24 10 layer0/floor
tile 0 23 10 layer0/floor
tile 0 22 10 layer0/floor
tile 0 21 10 layer0/floor3
tile 0 20 10 layer0/floor5
tile 0 19 10 layer0/floor3
tile 0 18 10 layer0/floor
tile 0 17 10 layer0/floor3
tile 0 16 10 layer0/lava1
tile 0 15 10 layer0/floor
tile 0 13 10 layer0/floor3
tile 0 12 10 layer0/lava1
tile 0 9 10 layer0/floor
tile 0 8 10 layer0/floor
tile 0 7 10 layer0/floor
tile 0 6 10 layer0/lava4
tile 0 5 10 layer0/lava4
tile 0 4 10 layer0/lava2
tile 0 3 10 layer0/lava1
tile 0 2 10 layer0/lava3
tile 0 1 10 layer0/lava3
tile 0 0 10 layer0/lava2
tile 0 49 9 layer0/floor
tile 0 48 9 layer0/floor
tile 0 47 9 layer0/floor
tile 0 46 9 layer0/floor6
tile 0 45 9 layer0/floor2
tile 0 44 9 layer0/floor
tile 0 42 9 layer0/lava1
tile 0 41 9 layer0/lava2
tile 0 40 9 layer0/lava1
tile 0 39 9 layer0/lava1
tile 0 38 9 layer0/floor
tile 0 37 9 layer0/floor
tile 0 36 9 layer0/floor
tile 0 35 9 layer0/floor
tile 0 34 9 layer0/floor4
tile 0 33 9 layer0/floor3
tile 0 32 9 layer0/floor
tile 0 31 9 layer0/floor6
tile 0 30 9 layer0/floor
tile 0 29 9 layer0/floor
tile 0 28 9 layer0/floor
tile 0 27 9 layer0/floor
tile 0 26 9 layer0/floor6
tile 0 25 9 layer0/lava1
tile 0 24 9 layer0/lava4
tile 0 23 9 layer0/floor5
tile 0 22 9 layer0/floor
tile 0 21 9 layer0/floor
tile 0 20 9 layer0/floor
tile 0 19 9 layer0/floor4
tile 0 17 9 layer0/lava4
tile 0 16 9 layer0/lava4
tile 0 15 9 layer0/lava4
tile 0 14 9 layer0/lava3
tile 0 13 9 layer0/lava1
tile 0 12 9 layer0/lava1
tile 0 11 9 layer0/lava3
tile 0 10 9 layer0/lava2
tile 0 9 9 layer0/floor2
tile 0 8 9 layer0/floor4
