size 40 40
tileset outdoor
visibilityRadius 6
unexplored


encounter "cavebats_lvl08" 29 23
encounter "cavebats_lvl08" 13 27
encounter "lizardlings_lvl10" 8 17
encounter "seaserpents_lvl10" 15 2
encounter "seaserpents_lvl10" 34 5
encounter "seaserpents_lvl10" 30 36
encounter "seaserpents_lvl10" 6 35
encounter "seaserpentKing_lvl10" 14 13

item 1 "chest_level05" 15 6
item 1 "chest_level05" 9 29
item 1 "chest_lizardlingKey" 18 9
item 1 "chest_weapon_level10fine" 13 7
item 1 "chest_level10" 14 7
item 1 "chest_lock_level10fine" 7 28
item 1 "chest_level10" 8 29

tile base 39 39 base/water3
tile base 38 39 base/water1
tile base 37 39 base/water4
tile base 36 39 base/water3
tile base 35 39 base/water2
tile base 34 39 base/water2
tile base 33 39 base/water2
tile base 32 39 base/water1
tile base 31 39 base/water4
tile base 30 39 base/water4
tile base 29 39 base/water3
tile base 28 39 base/water2
tile base 27 39 base/water4
tile base 26 39 base/water0
tile base 25 39 base/water3
tile base 24 39 base/water0
tile base 23 39 base/water3
tile base 22 39 base/water0
tile base 21 39 base/water4
tile base 20 39 base/water4
tile base 19 39 base/water1
tile base 18 39 base/water4
tile base 17 39 base/water2
tile base 16 39 base/water3
tile base 15 39 base/water2
tile base 14 39 base/water1
tile base 13 39 base/water2
tile base 12 39 base/water1
tile base 11 39 base/water3
tile base 10 39 base/water1
tile base 9 39 base/water0
tile base 8 39 base/water1
tile base 7 39 base/water4
tile base 6 39 base/water1
tile base 5 39 base/water1
tile base 4 39 base/water1
tile base 3 39 base/water4
tile base 2 39 base/water4
tile base 1 39 base/water4
tile base 0 39 base/water0
tile base 39 38 base/water4
tile base 38 38 base/water0
tile base 37 38 base/water0
tile base 36 38 base/water0
tile base 35 38 base/water1
tile base 34 38 base/water0
tile base 33 38 base/water4
tile base 32 38 base/water0
tile base 31 38 base/water0
tile base 30 38 base/water3
tile base 29 38 base/water3
tile base 28 38 base/water3
tile base 27 38 base/water4
tile base 26 38 base/water2
tile base 25 38 base/water4
tile base 24 38 base/water3
tile base 23 38 base/water4
tile base 22 38 base/water4
tile base 21 38 base/water1
tile base 20 38 base/water2
tile base 19 38 base/water2
tile base 18 38 base/water3
tile base 17 38 base/water4
tile base 16 38 base/water1
tile base 15 38 base/water1
tile base 14 38 base/water3
tile base 13 38 base/water1
tile base 12 38 base/water2
tile base 11 38 base/water2
tile base 10 38 base/water0
tile base 9 38 base/water0
tile base 8 38 base/water1
tile base 7 38 base/water1
tile base 6 38 base/water3
tile base 5 38 base/water0
tile base 4 38 base/water1
tile base 3 38 base/water2
tile base 2 38 base/water2
tile base 1 38 base/water0
tile base 0 38 base/water0
tile base 39 37 base/water1
tile base 38 37 base/water2
tile base 37 37 base/water2
tile base 36 37 base/water2
tile base 35 37 base/water3
tile base 34 37 base/water4
tile base 33 37 base/water2
tile base 32 37 base/water2
tile base 31 37 base/water4
tile base 30 37 base/water1
tile base 29 37 base/water1
tile base 28 37 base/water1
tile base 27 37 base/water1
tile base 26 37 base/dirt6
tile base 25 37 base/water3
tile base 24 37 base/water2
tile base 23 37 base/water3
tile base 22 37 base/dirt6
tile base 21 37 base/water0
tile base 20 37 base/water2
tile base 19 37 base/water2
tile base 18 37 base/water2
tile base 17 37 base/water2
tile base 16 37 base/water2
tile base 15 37 base/water3
tile base 14 37 base/water2
tile base 13 37 base/water1
tile base 12 37 base/water2
tile base 11 37 base/water4
tile base 10 37 base/water1
tile base 9 37 base/water0
tile base 8 37 base/water3
tile base 7 37 base/water1
tile base 6 37 base/water3
tile base 5 37 base/water3
tile base 4 37 base/water0
tile base 3 37 base/water4
tile base 2 37 base/water3
tile base 1 37 base/water2
tile base 0 37 base/water1
tile base 39 36 base/water4
tile base 38 36 base/water4
tile base 37 36 base/water1
tile base 36 36 base/water0
tile base 35 36 base/water4
tile base 34 36 base/water2
tile base 33 36 base/water4
tile base 32 36 base/dirt1
tile base 31 36 base/water4
tile base 30 36 base/dirt5
tile base 29 36 base/dirt5
tile base 28 36 base/dirt0
tile base 27 36 base/dirt1
tile base 26 36 base/dirt3
tile base 25 36 base/dirt6
tile base 24 36 base/dirt2
tile base 23 36 base/dirt3
tile base 22 36 base/dirt2
tile base 21 36 base/dirt6
tile base 20 36 base/dirt6
tile base 19 36 base/dirt0
tile base 18 36 base/dirt3
tile base 17 36 base/water1
tile base 16 36 base/water1
tile base 15 36 base/water4
tile base 14 36 base/dirt4
tile base 13 36 base/water3
tile base 12 36 base/dirt3
tile base 11 36 base/water1
tile base 10 36 base/dirt6
tile base 9 36 base/water0
tile base 8 36 base/water3
tile base 7 36 base/water0
tile base 6 36 base/water3
tile base 5 36 base/water1
tile base 4 36 base/water4
tile base 3 36 base/water4
tile base 2 36 base/water2
tile base 1 36 base/water2
tile base 0 36 base/water1
tile base 39 35 base/water1
tile base 38 35 base/water0
tile base 37 35 base/water4
tile base 36 35 base/water1
tile base 35 35 base/water0
tile base 34 35 base/water1
tile base 33 35 base/dirt5
tile base 32 35 base/dirt4
tile base 31 35 base/dirt6
tile base 30 35 base/dirt3
tile base 29 35 base/dirt0
tile base 28 35 base/dirt4
tile base 27 35 base/dirt6
tile base 26 35 base/dirt4
tile base 25 35 base/dirt2
tile base 24 35 base/dirt0
tile base 23 35 base/dirt0
tile base 22 35 base/dirt4
tile base 21 35 base/dirt4
tile base 20 35 base/dirt3
tile base 19 35 base/dirt2
tile base 18 35 base/dirt2
tile base 17 35 base/dirt4
tile base 16 35 base/dirt4
tile base 15 35 base/dirt5
