size 50 40
tileset cave
visibilityRadius 6
unexplored


encounter "deepDwarves_lvl10" 28 28
encounter "deepDwarves_lvl10" 16 25
encounter "deepDwarves_lvl10" 42 32
encounter "deepDwarves_lvl10" 31 19
encounter "deepDwarves_lvl10" 21 12
encounter "deepDwarves_lvl10" 19 5
encounter "slaverCampSlaves" 38 6

item 1 "slaverCampDoor" 35 7
item 1 "chest_level10fine" 17 12
item 1 "slaverKey" 17 12
item 1 "chest_lock_level10" 36 20
item 1 "chest_level10" 36 31
item 1 "armorstand_level10" 37 31
item 1 "chest_level05" 11 25
item 1 "chest_level05" 11 27
item 1 "chest_level10" 26 12

tile 0 49 39 layer0/chasm
tile 0 48 39 layer0/chasm
tile 0 47 39 layer0/chasm
tile 0 46 39 layer0/chasm
tile 0 45 39 layer0/chasm
tile 0 44 39 layer0/chasm
tile 0 43 39 layer0/chasm
tile 0 42 39 layer0/chasm
tile 0 41 39 layer0/chasm
tile 0 40 39 layer0/chasm
tile 0 39 39 layer0/chasm
tile 0 38 39 layer0/chasm
tile 0 37 39 layer0/chasm
tile 0 36 39 layer0/chasm
tile 0 35 39 layer0/chasm
tile 0 26 39 layer0/floor
tile 0 25 39 layer0/floor2
tile 0 24 39 layer0/floor
tile 0 6 39 layer0/floor5
tile 0 5 39 layer0/floor
tile 0 4 39 layer0/floor
tile 0 49 38 layer0/chasm
tile 0 48 38 layer0/chasm
tile 0 47 38 layer0/chasm
tile 0 46 38 layer0/chasm
tile 0 45 38 layer0/chasm
tile 0 44 38 layer0/chasm
tile 0 43 38 layer0/chasm
tile 0 42 38 layer0/chasm
tile 0 41 38 layer0/chasm
tile 0 40 38 layer0/chasm
tile 0 39 38 layer0/chasm
tile 0 38 38 layer0/chasm
tile 0 37 38 layer0/chasm
tile 0 36 38 layer0/chasm
tile 0 35 38 layer0/chasm
tile 0 27 38 layer0/floor
tile 0 26 38 layer0/floor
tile 0 25 38 layer0/floor2
tile 0 24 38 layer0/floor
tile 0 6 38 layer0/floor
tile 0 5 38 layer0/floor
tile 0 4 38 layer0/floor
tile 0 49 37 layer0/chasm
tile 0 48 37 layer0/chasm
tile 0 47 37 layer0/chasm
tile 0 46 37 layer0/chasm
tile 0 45 37 layer0/chasm
tile 0 44 37 layer0/chasm
tile 0 43 37 layer0/chasm
tile 0 42 37 layer0/chasm
tile 0 41 37 layer0/chasm
tile 0 40 37 layer0/chasm
tile 0 39 37 layer0/chasm
tile 0 38 37 layer0/chasm
tile 0 37 37 layer0/chasm
tile 0 36 37 layer0/chasm
tile 0 28 37 layer0/floor
tile 0 27 37 layer0/floor
tile 0 26 37 layer0/floor
tile 0 25 37 layer0/floor
tile 0 24 37 layer0/floor
tile 0 6 37 layer0/floor
tile 0 5 37 layer0/floor4
tile 0 4 37 layer0/floor
tile 0 3 37 layer0/floor
tile 0 49 36 layer0/chasm
tile 0 48 36 layer0/chasm
tile 0 47 36 layer0/chasm
tile 0 46 36 layer0/chasm
tile 0 45 36 layer0/chasm
tile 0 44 36 layer0/chasm
tile 0 43 36 layer0/chasm
tile 0 41 36 layer0/chasm
tile 0 40 36 layer0/chasm
tile 0 39 36 layer0/chasm
tile 0 38 36 layer0/chasm
tile 0 37 36 layer0/chasm
tile 0 36 36 layer0/chasm
tile 0 28 36 layer0/floor
tile 0 27 36 layer0/floor6
tile 0 26 36 layer0/floor
tile 0 25 36 layer0/floor2
tile 0 6 36 layer0/floor
tile 0 5 36 layer0/floor
tile 0 4 36 layer0/floor
tile 0 3 36 layer0/floor
tile 0 49 35 layer0/chasm
tile 0 48 35 layer0/chasm
tile 0 47 35 layer0/chasm
tile 0 46 35 layer0/chasm
tile 0 45 35 layer0/chasm
tile 0 42 35 layer0/floor
tile 0 41 35 layer0/floor3
tile 0 40 35 layer0/floor3
tile 0 39 35 layer0/chasm
tile 0 38 35 layer0/chasm
tile 0 37 35 layer0/chasm
tile 0 29 35 layer0/floor
tile 0 28 35 layer0/floor
tile 0 27 35 layer0/floor5
tile 0 26 35 layer0/floor4
tile 0 25 35 layer0/floor
tile 0 6 35 layer0/floor3
tile 0 5 35 layer0/floor
tile 0 49 34 layer0/chasm
tile 0 48 34 layer0/chasm
tile 0 47 34 layer0/chasm
tile 0 46 34 layer0/floor
tile 0 45 34 layer0/floor
tile 0 44 34 layer0/floor
tile 0 43 34 layer0/floor4
tile 0 42 34 layer0/floor5
tile 0 41 34 layer0/floor
tile 0 40 34 layer0/floor
tile 0 39 34 layer0/floor
tile 0 38 34 layer0/floor
tile 0 37 34 layer0/floor
tile 0 36 34 layer0/floor
tile 0 30 34 layer0/floor
tile 0 29 34 layer0/floor
tile 0 28 34 layer0/floor4
tile 0 27 34 layer0/floor
tile 0 26 34 layer0/floor
tile 0 25 34 layer0/floor
tile 0 24 34 layer0/floor3
tile 0 6 34 layer0/floor
tile 0 5 34 layer0/floor
tile 0 49 33 layer0/chasm
tile 0 48 33 layer0/chasm
tile 0 47 33 layer0/floor
tile 0 46 33 layer0/floor
tile 0 45 33 layer0/floor
tile 0 44 33 layer0/floor
tile 0 43 33 layer0/floor
tile 0 42 33 layer0/floor6
tile 0 41 33 layer0/floor3
tile 0 40 33 layer0/floor
tile 0 39 33 layer0/floor
tile 0 38 33 layer0/floor
tile 0 37 33 layer0/floor4
tile 0 36 33 layer0/floor6
tile 0 31 33 layer0/floor5
tile 0 30 33 layer0/floor
tile 0 29 33 layer0/floor
tile 0 28 33 layer0/floor
tile 0 27 33 layer0/floor
tile 0 26 33 layer0/floor3
tile 0 25 33 layer0/floor
tile 0 24 33 layer0/floor
tile 0 6 33 layer0/floor
tile 0 5 33 layer0/floor
tile 0 49 32 layer0/chasm
tile 0 48 32 layer0/chasm
tile 0 47 32 layer0/floor3
tile 0 46 32 layer0/floor
tile 0 45 32 layer0/floor5
tile 0 44 32 layer0/floor2
tile 0 43 32 layer0/floor5
tile 0 42 32 layer0/floor4
tile 0 41 32 layer0/floor
tile 0 40 32 layer0/floor6
tile 0 39 32 layer0/floor
tile 0 38 32 layer0/floor
tile 0 37 32 layer0/floor5
tile 0 36 32 layer0/floor
tile 0 31 32 layer0/floor
tile 0 30 32 layer0/floor
tile 0 29 32 layer0/floor
tile 0 28 32 layer0/floor6
tile 0 27 32 layer0/floor
tile 0 26 32 layer0/floor5
tile 0 25 32 layer0/floor
tile 0 24 32 layer0/floor2
tile 0 6 32 layer0/floor
tile 0 5 32 layer0/floor
tile 0 49 31 layer0/chasm
tile 0 48 31 layer0/chasm
tile 0 46 31 layer0/floor6
tile 0 45 31 layer0/floor
tile 0 44 31 layer0/floor
tile 0 43 31 layer0/floor4
tile 0 42 31 layer0/floor
tile 0 41 31 layer0/floor
tile 0 40 31 layer0/floor4
tile 0 39 31 layer0/floor5
tile 0 38 31 layer0/floor
tile 0 37 31 layer0/floor
tile 0 36 31 layer0/floor
tile 0 30 31 layer0/floor
tile 0 29 31 layer0/floor
tile 0 28 31 layer0/floor
tile 0 27 31 layer0/floor
tile 0 26 31 layer0/floor
tile 0 25 31 layer0/floor4
tile 0 24 31 layer0/floor
tile 0 6 31 layer0/floor6
tile 0 5 31 layer0/floor
tile 0 49 30 layer0/chasm
tile 0 48 30 layer0/chasm
tile 0 47 30 layer0/floor
tile 0 46 30 layer0/floor
tile 0 45 30 layer0/floor4
tile 0 44 30 layer0/floor
tile 0 43 30 layer0/floor2
tile 0 42 30 layer0/floor
tile 0 41 30 layer0/floor
tile 0 40 30 layer0/floor5
tile 0 39 30 layer0/floor6
tile 0 38 30 layer0/floor
tile 0 37 30 layer0/floor
tile 0 36 30 layer0/floor
tile 0 29 30 layer0/floor2
tile 0 28 30 layer0/floor
tile 0 27 30 layer0/floor2
tile 0 26 30 layer0/floor4
tile 0 25 30 layer0/floor
tile 0 12 30 layer0/floor
tile 0 6 30 layer0/floor
tile 0 5 30 layer0/floor
tile 0 49 29 layer0/chasm
tile 0 48 29 layer0/chasm
tile 0 47 29 layer0/floor6
tile 0 46 29 layer0/floor3
tile 0 45 29 layer0/floor
tile 0 44 29 layer0/floor
tile 0 43 29 layer0/floor
tile 0 42 29 layer0/floor
tile 0 41 29 layer0/floor3
tile 0 40 29 layer0/floor
tile 0 39 29 layer0/floor
tile 0 38 29 layer0/floor2
tile 0 37 29 layer0/floor
tile 0 36 29 layer0/floor2
tile 0 34 29 layer0/floor
tile 0 30 29 layer0/floor
tile 0 29 29 layer0/floor2
tile 0 28 29 layer0/floor
tile 0 27 29 layer0/floor3
tile 0 26 29 layer0/floor
tile 0 25 29 layer0/floor
tile 0 18 29 layer0/floor
tile 0 14 29 layer0/floor5
tile 0 13 29 layer0/floor
tile 0 12 29 layer0/floor2
tile 0 11 29 layer0/floor3
tile 0 7 29 layer0/floor
tile 0 6 29 layer0/floor
tile 0 5 29 layer0/floor
tile 0 49 28 layer0/chasm
tile 0 48 28 layer0/chasm
tile 0 47 28 layer0/chasm
tile 0 46 28 layer0/chasm
tile 0 45 28 layer0/floor
tile 0 43 28 layer0/floor
tile 0 42 28 layer0/floor3
tile 0 41 28 layer0/floor3
tile 0 40 28 layer0/floor
tile 0 39 28 layer0/floor
tile 0 38 28 layer0/floor6
tile 0 37 28 layer0/floor
tile 0 36 28 layer0/floor
tile 0 35 28 layer0/floor
tile 0 34 28 layer0/floor
tile 0 33 28 layer0/floor
tile 0 32 28 layer0/floor
tile 0 31 28 layer0/floor5
tile 0 30 28 layer0/floor
tile 0 29 28 layer0/floor2
tile 0 28 28 layer0/floor
tile 0 27 28 layer0/floor3
tile 0 26 28 layer0/floor6
tile 0 24 28 layer0/floor
tile 0 22 28 layer0/floor
tile 0 19 28 layer0/floor6
tile 0 18 28 layer0/floor2
tile 0 17 28 layer0/floor
tile 0 16 28 layer0/floor2
tile 0 15 28 layer0/floor
tile 0 14 28 layer0/floor
tile 0 13 28 layer0/floor
tile 0 12 28 layer0/floor
tile 0 11 28 layer0/floor
tile 0 7 28 layer0/floor
tile 0 6 28 layer0/floor
tile 0 5 28 layer0/floor
tile 0 49 27 layer0/chasm
tile 0 48 27 layer0/chasm
tile 0 47 27 layer0/chasm
tile 0 46 27 layer0/chasm
tile 0 45 27 layer0/chasm
tile 0 44 27 layer0/chasm
tile 0 43 27 layer0/floor4
tile 0 42 27 layer0/floor
tile 0 41 27 layer0/floor
tile 0 40 27 layer0/chasm
tile 0 39 27 layer0/floor
tile 0 38 27 layer0/floor6
tile 0 37 27 layer0/floor2
tile 0 35 27 layer0/floor6
tile 0 34 27 layer0/floor
tile 0 33 27 layer0/floor
tile 0 32 27 layer0/floor4
tile 0 31 27 layer0/floor
tile 0 30 27 layer0/floor2
tile 0 29 27 layer0/floor
tile 0 28 27 layer0/floor2
tile 0 27 27 layer0/floor
tile 0 26 27 layer0/floor
tile 0 25 27 layer0/floor6
tile 0 24 27 layer0/floor
tile 0 23 27 layer0/floor2
tile 0 22 27 layer0/floor
tile 0 21 27 layer0/floor3
tile 0 19 27 layer0/floor
tile 0 18 27 layer0/floor
tile 0 17 27 layer0/floor3
tile 0 16 27 layer0/floor5
tile 0 15 27 layer0/floor
tile 0 14 27 layer0/floor
tile 0 13 27 layer0/floor
tile 0 12 27 layer0/floor6
tile 0 11 27 layer0/floor
tile 0 10 27 layer0/floor5
tile 0 6 27 layer0/floor
tile 0 5 27 layer0/floor6
tile 0 4 27 layer0/floor3
tile 0 49 26 layer0/chasm
tile 0 48 26 layer0/chasm
tile 0 47 26 layer0/chasm
tile 0 46 26 layer0/chasm
tile 0 45 26 layer0/chasm
tile 0 44 26 layer0/chasm
tile 0 43 26 layer0/chasm
tile 0 42 26 layer0/chasm
tile 0 41 26 layer0/chasm
tile 0 40 26 layer0/chasm
tile 0 39 26 layer0/chasm
tile 0 36 26 layer0/chasm
tile 0 35 26 layer0/chasm
tile 0 34 26 layer0/chasm
tile 0 33 26 layer0/floor5
tile 0 30 26 layer0/floor
tile 0 29 26 layer0/floor
tile 0 28 26 layer0/floor
tile 0 27 26 layer0/floor
tile 0 26 26 layer0/floor
tile 0 25 26 layer0/floor
tile 0 24 26 layer0/floor
tile 0 23 26 layer0/floor
tile 0 22 26 layer0/floor2
tile 0 21 26 layer0/floor2
tile 0 20 26 layer0/floor5
tile 0 19 26 layer0/floor
tile 0 18 26 layer0/floor
tile 0 17 26 layer0/floor3
tile 0 16 26 layer0/floor5
tile 0 15 26 layer0/floor
tile 0 12 26 layer0/floor5
tile 0 11 26 layer0/floor
tile 0 10 26 layer0/floor4
tile 0 6 26 layer0/floor
tile 0 5 26 layer0/floor
tile 0 4 26 layer0/floor
tile 0 49 25 layer0/chasm
tile 0 48 25 layer0/chasm
tile 0 47 25 layer0/chasm
tile 0 46 25 layer0/chasm
tile 0 45 25 layer0/chasm
tile 0 44 25 layer0/chasm
tile 0 43 25 layer0/chasm
tile 0 42 25 layer0/chasm
tile 0 41 25 layer0/chasm
tile 0 40 25 layer0/chasm
tile 0 39 25 layer0/chasm
tile 0 38 25 layer0/chasm
tile 0 37 25 layer0/chasm
tile 0 36 25 layer0/chasm
tile 0 35 25 layer0/chasm
tile 0 34 25 layer0/chasm
tile 0 33 25 layer0/chasm
tile 0 32 25 layer0/chasm
tile 0 29 25 layer0/floor5
tile 0 21 25 layer0/floor
tile 0 20 25 layer0/floor3
tile 0 19 25 layer0/floor
tile 0 18 25 layer0/floor2
tile 0 17 25 layer0/floor2
tile 0 16 25 layer0/floor
tile 0 15 25 layer0/floor
tile 0 13 25 layer0/floor
tile 0 12 25 layer0/floor
tile 0 11 25 layer0/floor
tile 0 6 25 layer0/floor
tile 0 5 25 layer0/floor
tile 0 4 25 layer0/floor
tile 0 49 24 layer0/chasm
tile 0 48 24 layer0/chasm
tile 0 47 24 layer0/chasm
tile 0 46 24 layer0/chasm
tile 0 45 24 layer0/chasm
tile 0 44 24 layer0/chasm
tile 0 43 24 layer0/chasm
tile 0 42 24 layer0/chasm
tile 0 41 24 layer0/chasm
tile 0 40 24 layer0/chasm
tile 0 39 24 layer0/chasm
tile 0 38 24 layer0/chasm
tile 0 37 24 layer0/chasm
