name "Boots of Speed"
description "Adds a movement speed enchantment to a pair of boots. The magnitude of the enchantment depends on your enchanting skill."
skill "Enchanting"
skillRequirement 35
resultQuantity 1
resultHasQuality "true
anyItemOfTypeIngredient "BOOTS"
resultIsIngredient true
ingredient "bar_silver" 1
ingredient "foxtail" 1
ingredient "feather" 1
ingredient "gem04" 1
qualityModifier 30 "entity.addBonus('Movement',  10);"
qualityModifier 50 "entity.addBonus('Movement',  15);"
qualityModifier 70 "entity.addBonus('Movement',  20);"
qualityModifier 90 "entity.addBonus('Movement',  25);"
qualityModifier 110 "entity.addBonus('Movement',  30);"
qualityModifier 130 "entity.addBonus('Movement',  35);"
qualityModifier 150 "entity.addBonus('Movement',  40);"
qualityModifier 170 "entity.addBonus('Movement',  45);"
