name "Lightning Damage"
description "Adds electricity damage to a weapon.  The amount of damage depends on your enchanting skill."
skill "Enchanting"
skillRequirement 30
resultQuantity 1
resultHasQuality "true
anyItemOfTypeIngredient "WEAPON"
resultIsIngredient true
ingredient "gem06" 1
ingredient "gem08" 3
ingredient "bar_gold" 1
qualityModifier 20 "entity.addStandaloneDamageBonus('Electrical', 1, 3);"
qualityModifier 40 "entity.addStandaloneDamageBonus('Electrical', 1, 4);"
qualityModifier 60 "entity.addStandaloneDamageBonus('Electrical', 1, 5);"
qualityModifier 80 "entity.addStandaloneDamageBonus('Electrical', 2, 6);"
qualityModifier 100 "entity.addStandaloneDamageBonus('Electrical', 2, 7);"
qualityModifier 120 "entity.addStandaloneDamageBonus('Electrical', 2, 8);"
qualityModifier 140 "entity.addStandaloneDamageBonus('Electrical', 3, 9);"
qualityModifier 160 "entity.addStandaloneDamageBonus('Electrical', 3, 10);"
