name "Flame Trap"
description "Creates a burning flame trap.  The quality of the trap is dependant on your Traps skill."
skill "Traps"
skillRequirement 30
result "flameTrap"
resultQuantity 1
resultHasQuality "true
resultIsIngredient false
ingredient "wire" 2
ingredient "pressure_plate" 1
ingredient "oilFlamable" 2
qualityModifier 15 ""
qualityModifier 40 ""
qualityModifier 60 ""
qualityModifier 80 ""
qualityModifier 100 ""
qualityModifier 120 ""
qualityModifier 140 ""
qualityModifier 160 ""
