name "Crossbow"
description "Creates a crossbow. The quality is dependant on your Craft Weapons skill."
skill "CraftWeapons"
skillRequirement 25
result "crossbow"
resultQuantity 1
resultHasQuality "true
resultIsIngredient false
ingredient "bar_iron" 1
ingredient "bar_wood" 1
ingredient "coal" 3
ingredient "wire" 2
qualityModifier 20 ""
qualityModifier 40 ""
qualityModifier 60 ""
qualityModifier 80 ""
qualityModifier 100 ""
qualityModifier 120 ""
qualityModifier 135 ""
qualityModifier 155 ""
