size 30 25
tileset outdoor
visibilityRadius 8
unexplored



item 1 "ruraldoor_SE" 10 7
item 1 "ruraldoor_SE" 11 6

tile base 29 24 base/grass5
tile base 26 24 base/dirt3
tile base 25 24 base/dirt1
tile base 24 24 base/dirt0
tile base 23 24 base/pathclean1
tile base 22 24 base/dirt4
tile base 15 24 base/dirt6
tile base 14 24 base/dirt4
tile base 7 24 base/dirt4
tile base 6 24 base/dirt3
tile base 5 24 base/pathclean0
tile base 4 24 base/dirt2
tile base 3 24 base/dirt6
tile base 2 24 base/dirt6
tile base 1 24 base/dirt3
tile base 29 23 base/grass1
tile base 26 23 base/dirt1
tile base 25 23 base/dirt0
tile base 24 23 base/dirt4
tile base 23 23 base/pathclean2
tile base 22 23 base/pathclean2
tile base 21 23 base/dirt1
tile base 20 23 base/dirt4
tile base 14 23 base/dirt5
tile base 13 23 base/dirt1
tile base 8 23 base/dirt3
tile base 7 23 base/dirt4
tile base 6 23 base/dirt6
tile base 5 23 base/pathclean0
tile base 4 23 base/dirt0
tile base 3 23 base/dirt1
tile base 29 22 base/grass5
tile base 26 22 base/dirt2
tile base 25 22 base/dirt0
tile base 23 22 base/dirt5
tile base 22 22 base/dirt3
tile base 21 22 base/pathclean0
tile base 20 22 base/pathclean1
tile base 19 22 base/dirt2
tile base 18 22 base/dirt2
tile base 14 22 base/dirt2
tile base 13 22 base/dirt4
tile base 12 22 base/dirt5
tile base 10 22 base/dirt6
tile base 9 22 base/dirt1
tile base 8 22 base/dirt2
tile base 7 22 base/dirt3
tile base 6 22 base/dirt0
tile base 5 22 base/pathclean0
tile base 4 22 base/dirt1
tile base 29 21 base/grass3
tile base 26 21 base/grass3
tile base 21 21 base/dirt0
tile base 20 21 base/grass1
tile base 19 21 base/pathclean2
tile base 18 21 base/pathclean0
tile base 17 21 base/dirt3
tile base 16 21 base/dirt6
tile base 15 21 base/dirt3
tile base 14 21 base/dirt1
tile base 13 21 base/dirt3
tile base 12 21 base/dirt1
tile base 11 21 base/dirt2
tile base 9 21 base/dirt0
tile base 7 21 base/dirt6
tile base 6 21 base/dirt0
tile base 5 21 base/pathclean0
tile base 4 21 base/dirt0
tile base 29 20 base/grass2
tile base 26 20 base/grass0
tile base 25 20 base/grass2
tile base 24 20 base/grass3
tile base 22 20 base/grass1
tile base 21 20 base/grass5
tile base 20 20 base/grass3
tile base 19 20 base/grass4
tile base 18 20 base/grass1
tile base 17 20 base/pathclean1
tile base 16 20 base/pathclean0
tile base 15 20 base/dirt1
tile base 14 20 base/dirt3
tile base 13 20 base/dirt1
tile base 6 20 base/dirt4
tile base 5 20 base/pathclean2
tile base 4 20 base/grass0
tile base 0 20 base/dirt2
