size 70 20
tileset outdoor
visibilityRadius 8
unexplored


encounter "scoutsLvl14" 50 12
encounter "scoutsLvl14" 41 14
encounter "scoutsLvl14" 48 4
encounter "wolvesGiantLvl11" 6 15
encounter "wolvesGiantLvl11" 28 5
encounter "wolvesGiantLvl11" 8 5

item 1 "chest_superb" 53 12
item 1 "chest_lock_superb" 52 10
item 1 "armorstand_superb" 42 17

tile base 69 19 base/grass1
tile base 68 19 base/grass3
tile base 67 19 base/grass2
tile base 66 19 base/grass1
tile base 65 19 base/grass3
tile base 64 19 base/grass5
tile base 63 19 base/grass5
tile base 62 19 base/grass3
tile base 61 19 base/grass1
tile base 60 19 base/grass2
tile base 59 19 base/grass4
tile base 58 19 base/grass3
tile base 57 19 base/grass3
tile base 56 19 base/grass6
tile base 55 19 base/grass2
tile base 54 19 base/grass1
tile base 53 19 base/grass2
tile base 52 19 base/grass6
tile base 51 19 base/grass5
tile base 50 19 base/grass1
tile base 49 19 base/grass4
tile base 48 19 base/grass2
tile base 47 19 base/grass6
tile base 46 19 base/grass4
tile base 45 19 base/grass4
tile base 44 19 base/grass2
tile base 43 19 base/grass2
tile base 42 19 base/grass4
tile base 41 19 base/grassdry2
tile base 40 19 base/grassdry0
tile base 39 19 base/grassdry2
tile base 38 19 base/grassdry5
tile base 37 19 base/grassdry2
tile base 36 19 base/grassdry3
tile base 35 19 base/grassdry3
tile base 34 19 base/grassdry3
tile base 33 19 base/grassdry0
tile base 32 19 base/grassdry4
tile base 31 19 base/dirt0
tile base 30 19 base/dirt1
tile base 29 19 base/dirt6
tile base 28 19 base/dirt6
tile base 27 19 base/dirt3
tile base 26 19 base/dirt4
tile base 25 19 base/dirt5
tile base 24 19 base/dirt0
tile base 23 19 base/dirt4
tile base 22 19 base/dirt3
tile base 21 19 base/dirt0
tile base 20 19 base/dirt1
tile base 19 19 base/dirt6
tile base 18 19 base/dirt3
tile base 17 19 base/dirt2
tile base 16 19 base/dirt1
tile base 15 19 base/dirt0
tile base 14 19 base/dirt0
tile base 13 19 base/dirt5
tile base 12 19 base/dirt3
tile base 11 19 base/dirt6
tile base 10 19 base/dirt6
tile base 9 19 base/dirt4
tile base 8 19 base/dirt0
tile base 7 19 base/dirt2
tile base 6 19 base/dirt1
tile base 5 19 base/dirt0
tile base 4 19 base/dirt2
tile base 3 19 base/dirt5
tile base 2 19 base/dirt6
tile base 1 19 base/dirt3
tile base 0 19 base/dirt3
tile base 69 18 base/grass1
tile base 68 18 base/grass4
tile base 67 18 base/grass1
tile base 66 18 base/grass4
tile base 65 18 base/grass6
tile base 64 18 base/grass6
tile base 63 18 base/grass0
tile base 62 18 base/grass0
tile base 61 18 base/grass3
tile base 60 18 base/grass0
tile base 59 18 base/grass5
tile base 58 18 base/grass2
tile base 57 18 base/grass6
tile base 56 18 base/grass1
tile base 55 18 base/grass3
tile base 54 18 base/grass5
tile base 53 18 base/grass5
tile base 52 18 base/grass1
tile base 51 18 base/grass3
tile base 50 18 base/grass6
tile base 49 18 base/grass3
tile base 48 18 base/grass4
tile base 47 18 base/grass2
tile base 46 18 base/grass0
tile base 45 18 base/grass3
tile base 44 18 base/grass0
tile base 43 18 base/grass5
tile base 42 18 base/grassdry1
tile base 41 18 base/grassdry3
tile base 40 18 base/grassdry3
tile base 39 18 base/grassdry4
tile base 38 18 base/grassdry0
tile base 37 18 base/grassdry3
tile base 36 18 base/grassdry3
tile base 35 18 base/grassdry0
tile base 34 18 base/grassdry3
tile base 33 18 base/grassdry2
tile base 32 18 base/grassdry2
tile base 31 18 base/dirt0
tile base 30 18 base/dirt6
tile base 29 18 base/dirt0
tile base 28 18 base/dirt0
tile base 27 18 base/dirt5
tile base 26 18 base/dirt6
tile base 25 18 base/dirt1
tile base 24 18 base/dirt5
tile base 23 18 base/dirt6
tile base 22 18 base/dirt1
tile base 21 18 base/dirt5
tile base 20 18 base/dirt6
tile base 19 18 base/dirt1
tile base 18 18 base/dirt1
tile base 17 18 base/dirt0
tile base 16 18 base/dirt0
tile base 15 18 base/dirt3
tile base 14 18 base/dirt1
tile base 13 18 base/dirt0
tile base 12 18 base/dirt6
tile base 11 18 base/dirt3
tile base 10 18 base/dirt6
tile base 9 18 base/dirt5
tile base 8 18 base/dirt4
tile base 7 18 base/dirt0
tile base 6 18 base/dirt0
tile base 5 18 base/dirt4
tile base 4 18 base/dirt5
tile base 3 18 base/dirt4
tile base 2 18 base/dirt2
tile base 1 18 base/dirt2
tile base 0 18 base/dirt3
tile base 69 17 base/grass1
tile base 68 17 base/grass4
tile base 67 17 base/grass2
tile base 66 17 base/grass1
tile base 65 17 base/grass2
tile base 64 17 base/grass4
tile base 63 17 base/grass5
tile base 62 17 base/grass1
tile base 61 17 base/grass4
tile base 60 17 base/grass0
tile base 59 17 base/grass4
tile base 58 17 base/grass6
tile base 57 17 base/grass6
tile base 56 17 base/grass6
tile base 55 17 base/grass0
tile base 54 17 base/grass6
tile base 53 17 base/grass1
tile base 52 17 base/grass4
tile base 51 17 base/grass5
tile base 50 17 base/grass0
tile base 49 17 base/grass1
tile base 48 17 base/grass5
tile base 47 17 base/grass0
tile base 46 17 base/grass0
tile base 45 17 base/grass1
tile base 44 17 base/grass1
tile base 43 17 base/grassdry5
tile base 42 17 base/grassdry5
tile base 41 17 base/grassdry3
tile base 40 17 base/grassdry4
tile base 39 17 base/grassdry3
tile base 38 17 base/grassdry2
tile base 37 17 base/grassdry4
tile base 36 17 base/grassdry5
tile base 35 17 base/grassdry5
tile base 34 17 base/grassdry1
tile base 33 17 base/grassdry0
tile base 32 17 base/grassdry1
tile base 31 17 base/dirt6
tile base 30 17 base/dirt3
tile base 29 17 base/dirt6
tile base 28 17 base/dirt2
tile base 27 17 base/dirt2
tile base 26 17 base/dirt4
tile base 25 17 base/dirt2
tile base 24 17 base/dirt0
tile base 23 17 base/dirt0
tile base 22 17 base/dirt1
tile base 21 17 base/dirt3
tile base 20 17 base/dirt6
tile base 19 17 base/dirt1
tile base 18 17 base/dirt1
tile base 17 17 base/dirt5
tile base 16 17 base/dirt6
tile base 15 17 base/dirt2
tile base 14 17 base/dirt4
tile base 13 17 base/dirt4
tile base 12 17 base/dirt1
tile base 11 17 base/dirt4
tile base 10 17 base/dirt5
tile base 9 17 base/dirt2
tile base 8 17 base/dirt4
tile base 7 17 base/dirt3
tile base 6 17 base/dirt5
tile base 5 17 base/dirt6
tile base 4 17 base/dirt5
tile base 3 17 base/dirt1
tile base 2 17 base/dirt1
tile base 1 17 base/dirt6
tile base 0 17 base/dirt0
tile base 69 16 base/grass3
tile base 68 16 base/grass3
tile base 67 16 base/grass1
tile base 66 16 base/grass6
tile base 65 16 base/grass6
tile base 64 16 base/grass2
tile base 63 16 base/grass0
tile base 62 16 base/grass4
tile base 61 16 base/grass4
tile base 60 16 base/grass5
tile base 59 16 base/grass5
tile base 58 16 base/grass4
tile base 57 16 base/grass1
tile base 56 16 base/grass5
tile base 55 16 base/grass5
tile base 54 16 base/grass3
tile base 53 16 base/grass2
tile base 52 16 base/grass1
tile base 51 16 base/grass0
tile base 50 16 base/grass4
tile base 49 16 base/grass2
tile base 48 16 base/grass1
tile base 47 16 base/grass5
tile base 46 16 base/grass1
tile base 45 16 base/grass4
tile base 44 16 base/grass0
tile base 43 16 base/grassdry4
tile base 42 16 base/grassdry3
tile base 41 16 base/grassdry0
tile base 40 16 base/grassdry0
tile base 39 16 base/grassdry4
tile base 38 16 base/grassdry2
tile base 37 16 base/grassdry2
tile base 36 16 base/grassdry3
tile base 35 16 base/grassdry1
tile base 34 16 base/grassdry5
tile base 33 16 base/grassdry4
tile base 32 16 base/grassdry3
tile base 31 16 base/grassdry4
tile base 30 16 base/dirt1
tile base 29 16 base/dirt6
tile base 28 16 base/dirt6
tile base 27 16 base/dirt2
tile base 26 16 base/dirt0
tile base 25 16 base/dirt3
tile base 24 16 base/dirt5
tile base 23 16 base/dirt0
tile base 22 16 base/dirt2
tile base 21 16 base/dirt1
tile base 20 16 base/dirt3
tile base 19 16 base/dirt0
tile base 18 16 base/dirt3
tile base 17 16 base/dirt5
tile base 16 16 base/dirt4
tile base 15 16 base/dirt6
tile base 14 16 base/dirt0
tile base 13 16 base/dirt4
tile base 12 16 base/dirt4
tile base 11 16 base/dirt3
tile base 10 16 base/dirt4
tile base 9 16 base/dirt1
tile base 8 16 base/dirt3
tile base 7 16 base/dirt1
tile base 6 16 base/dirt4
tile base 5 16 base/dirt2
tile base 4 16 base/dirt4
tile base 3 16 base/dirt1
tile base 2 16 base/dirt5
tile base 1 16 base/dirt2
tile base 0 16 base/dirt5
tile base 69 15 base/grass3
tile base 68 15 base/grass0
tile base 67 15 base/grass6
tile base 66 15 base/grass4
tile base 65 15 base/grass6
tile base 64 15 base/grass1
tile base 63 15 base/grass0
tile base 62 15 base/grass3
tile base 61 15 base/grass3
tile base 60 15 base/grass3
tile base 59 15 base/grass1
tile base 58 15 base/grass0
tile base 57 15 base/grass1
tile base 56 15 base/grass3
tile base 55 15 base/grass3
tile base 54 15 base/grass1
tile base 53 15 base/grass1
tile base 52 15 base/grass4
tile base 51 15 base/grass1
tile base 50 15 base/grass0
tile base 49 15 base/grass6
tile base 48 15 base/grass3
tile base 47 15 base/grass0
tile base 46 15 base/grass0
tile base 45 15 base/grass2
tile base 44 15 base/grassdry0
tile base 43 15 base/grassdry0
tile base 42 15 base/grassdry2
tile base 41 15 base/grassdry5
tile base 40 15 base/grassdry2
tile base 39 15 base/grassdry5
tile base 38 15 base/grassdry2
tile base 37 15 base/grassdry4
tile base 36 15 base/grassdry3
tile base 35 15 base/grassdry3
tile base 34 15 base/grassdry5
tile base 33 15 base/grassdry0
tile base 32 15 base/grassdry3
tile base 31 15 base/grassdry5
tile base 30 15 base/dirt6
tile base 29 15 base/dirt6
tile base 28 15 base/dirt6
tile base 27 15 base/dirt6
tile base 26 15 base/dirt3
tile base 25 15 base/dirt0
tile base 24 15 base/dirt0
tile base 23 15 base/dirt0
tile base 22 15 base/dirt4
tile base 21 15 base/dirt3
tile base 20 15 base/dirt6
tile base 19 15 base/dirt6
tile base 18 15 base/dirt6
tile base 17 15 base/dirt5
tile base 16 15 base/dirt6
tile base 15 15 base/dirt6
tile base 14 15 base/dirt1
tile base 13 15 base/dirt5
tile base 12 15 base/dirt6
tile base 11 15 base/dirt0
tile base 10 15 base/dirt1
tile base 9 15 base/dirt4
tile base 8 15 base/dirt5
tile base 7 15 base/dirt4
tile base 6 15 base/dirt4
tile base 5 15 base/dirt5
tile base 4 15 base/dirt6
tile base 3 15 base/dirt3
tile base 2 15 base/dirt0
tile base 1 15 base/dirt0
tile base 0 15 base/dirt1
tile base 69 14 base/grass1
tile base 68 14 base/grass0
tile base 67 14 base/grass3
tile base 66 14 base/grass0
tile base 65 14 base/grass1
tile base 64 14 base/grass6
tile base 63 14 base/grass5
tile base 62 14 base/grass1
tile base 61 14 base/grass1
tile base 60 14 base/grass1
tile base 59 14 base/grass5
tile base 58 14 base/grass3
tile base 57 14 base/grass4
tile base 56 14 base/grass4
tile base 55 14 base/grass3
tile base 54 14 base/grass3
tile base 53 14 base/grass6
tile base 52 14 base/grass2
tile base 51 14 base/grass4
tile base 50 14 base/grass6
tile base 49 14 base/grass1
tile base 48 14 base/grass4
tile base 47 14 base/grass4
tile base 46 14 base/grass1
tile base 45 14 base/grass1
tile base 44 14 base/grassdry3
tile base 43 14 base/grassdry5
tile base 42 14 base/grassdry1
tile base 41 14 base/grassdry1
tile base 40 14 base/grassdry0
tile base 39 14 base/grassdry1
tile base 38 14 base/grassdry1
tile base 37 14 base/grassdry4
tile base 36 14 base/dirt2
tile base 35 14 base/grass5
tile base 34 14 base/grassdry2
tile base 33 14 base/grassdry3
tile base 32 14 base/grassdry4
tile base 31 14 base/grassdry0
tile base 30 14 base/dirt2
tile base 29 14 base/dirt6
tile base 28 14 base/dirt6
tile base 27 14 base/dirt4
tile base 26 14 base/dirt0
tile base 25 14 base/dirt3
tile base 24 14 base/dirt1
tile base 23 14 base/dirt4
tile base 22 14 base/dirt5
tile base 21 14 base/dirt0
tile base 20 14 base/dirt1
tile base 19 14 base/dirt6
tile base 18 14 base/dirt1
tile base 17 14 base/dirt0
tile base 16 14 base/dirt4
tile base 15 14 base/dirt2
tile base 14 14 base/dirt5
tile base 13 14 base/dirt1
tile base 12 14 base/dirt0
tile base 11 14 base/dirt3
tile base 10 14 base/dirt0
tile base 9 14 base/dirt2
tile base 8 14 base/dirt6
tile base 7 14 base/dirt6
tile base 6 14 base/dirt1
tile base 5 14 base/dirt0
tile base 4 14 base/dirt1
tile base 3 14 base/dirt2
tile base 2 14 base/dirt3
tile base 1 14 base/dirt5
tile base 0 14 base/dirt6
tile base 69 13 base/grass4
tile base 68 13 base/grass3
tile base 67 13 base/grass5
tile base 66 13 base/grass0
tile base 65 13 base/grass1
tile base 64 13 base/grass3
tile base 63 13 base/grass1
tile base 62 13 base/grass5
tile base 61 13 base/grass6
tile base 60 13 base/grass1
tile base 59 13 base/grass4
tile base 58 13 base/grass6
tile base 57 13 base/grass2
tile base 56 13 base/grass3
tile base 55 13 base/grass1
tile base 54 13 base/grass1
tile base 53 13 base/grass3
tile base 52 13 base/grass2
tile base 51 13 base/grass4
tile base 50 13 base/grass5
tile base 49 13 base/grass5
tile base 48 13 base/grass6
tile base 47 13 base/grass3
tile base 46 13 base/grass5
tile base 45 13 base/grass0
tile base 44 13 base/grassdry2
tile base 43 13 base/grassdry3
tile base 42 13 base/grassdry4
tile base 41 13 base/grassdry2
tile base 40 13 base/grassdry3
tile base 39 13 base/grassdry5
tile base 38 13 base/dirt5
tile base 37 13 base/dirt3
tile base 36 13 base/dirt4
tile base 35 13 base/dirt5
tile base 34 13 base/grassdry1
tile base 33 13 base/grassdry2
tile base 32 13 base/grassdry0
tile base 31 13 base/grassdry5
tile base 30 13 base/dirt0
tile base 29 13 base/dirt5
tile base 28 13 base/dirt5
tile base 27 13 base/dirt4
tile base 26 13 base/dirt3
tile base 25 13 base/dirt2
tile base 24 13 base/dirt0
tile base 23 13 base/dirt1
tile base 22 13 base/dirt2
tile base 21 13 base/dirt3
tile base 20 13 base/dirt0
tile base 19 13 base/dirt1
tile base 18 13 base/dirt6
tile base 17 13 base/dirt5
tile base 16 13 base/dirt2
tile base 15 13 base/dirt6
tile base 14 13 base/dirt5
tile base 13 13 base/dirt6
tile base 12 13 base/dirt6
tile base 11 13 base/dirt5
tile base 10 13 base/dirt6
tile base 9 13 base/dirt3
tile base 8 13 base/dirt5
tile base 7 13 base/dirt0
tile base 6 13 base/dirt4
tile base 5 13 base/dirt0
tile base 4 13 base/dirt6
tile base 3 13 base/dirt1
tile base 2 13 base/dirt1
tile base 1 13 base/dirt0
tile base 0 13 base/dirt3
tile base 69 12 base/grass3
tile base 68 12 base/grass4
tile base 67 12 base/grass6
tile base 66 12 base/grass6
tile base 65 12 base/grass2
tile base 64 12 base/grass2
tile base 63 12 base/grass4
tile base 62 12 base/grass1
tile base 61 12 base/grass2
tile base 60 12 base/grass3
tile base 59 12 base/grass1
tile base 58 12 base/grass3
tile base 57 12 base/grass1
tile base 56 12 base/grass6
tile base 55 12 base/grass0
tile base 54 12 base/grass6
tile base 53 12 base/grass3
tile base 52 12 base/grass5
tile base 51 12 base/grass1
tile base 50 12 base/grass1
tile base 49 12 base/grass5
tile base 48 12 base/grass1
tile base 47 12 base/grass1
tile base 46 12 base/grass0
tile base 45 12 base/grass0
tile base 44 12 base/grassdry5
tile base 43 12 base/grassdry3
tile base 42 12 base/grassdry2
tile base 41 12 base/grassdry4
tile base 40 12 base/grassdry2
tile base 39 12 base/grassdry3
tile base 38 12 base/dirt0
tile base 37 12 base/dirt6
tile base 36 12 base/dirt5
tile base 35 12 base/dirt1
tile base 34 12 base/grassdry4
tile base 33 12 base/grassdry2
tile base 32 12 base/grassdry2
tile base 31 12 base/grass4
tile base 30 12 base/dirt4
tile base 29 12 base/dirt0
tile base 28 12 base/dirt0
tile base 27 12 base/dirt6
tile base 26 12 base/dirt3
tile base 25 12 base/dirt6
tile base 24 12 base/dirt6
tile base 23 12 base/dirt1
tile base 22 12 base/dirt6
tile base 21 12 base/dirt1
tile base 20 12 base/dirt3
tile base 19 12 base/dirt0
tile base 18 12 base/dirt2
tile base 17 12 base/dirt4
tile base 16 12 base/dirt4
tile base 15 12 base/dirt6
tile base 14 12 base/dirt1
tile base 13 12 base/dirt6
tile base 12 12 base/dirt2
tile base 11 12 base/dirt4
tile base 10 12 base/dirt0
tile base 9 12 base/dirt4
tile base 8 12 base/dirt3
tile base 7 12 base/dirt6
tile base 6 12 base/dirt0
tile base 5 12 base/dirt3
tile base 4 12 base/dirt0
tile base 3 12 base/dirt2
tile base 2 12 base/dirt4
tile base 1 12 base/dirt2
tile base 0 12 base/dirt3
tile base 69 11 base/grass5
tile base 68 11 base/grass0
tile base 67 11 base/grass3
tile base 66 11 base/grass0
tile base 65 11 base/grass5
tile base 64 11 base/grass1
tile base 63 11 base/grass5
tile base 62 11 base/grass3
tile base 61 11 base/grass1
tile base 60 11 base/grass6
tile base 59 11 base/grass3
tile base 58 11 base/grass5
tile base 57 11 base/grass5
tile base 56 11 base/grass2
tile base 55 11 base/grass3
tile base 54 11 base/grass3
tile base 53 11 base/grass4
tile base 52 11 base/grass2
tile base 51 11 base/grass1
tile base 50 11 base/grass3
tile base 49 11 base/grass1
tile base 48 11 base/grass5
tile base 47 11 base/grass5
tile base 46 11 base/grass4
tile base 45 11 base/grass4
tile base 44 11 base/grass5
tile base 43 11 base/grassdry2
tile base 42 11 base/grassdry5
tile base 41 11 base/grassdry0
tile base 40 11 base/dirt6
tile base 39 11 base/dirt1
tile base 38 11 base/dirt6
tile base 37 11 base/dirt5
tile base 36 11 base/dirt4
tile base 35 11 base/grassdry0
tile base 34 11 base/grassdry2
tile base 33 11 base/grassdry0
tile base 32 11 base/grassdry4
tile base 31 11 base/dirt5
tile base 30 11 base/dirt4
tile base 29 11 base/dirt6
tile base 28 11 base/dirt6
tile base 27 11 base/dirt3
tile base 26 11 base/dirt1
tile base 25 11 base/dirt4
tile base 24 11 base/dirt0
tile base 23 11 base/dirt5
tile base 22 11 base/dirt5
tile base 21 11 base/dirt3
tile base 20 11 base/dirt6
tile base 19 11 base/dirt2
tile base 18 11 base/dirt6
tile base 17 11 base/dirt2
tile base 16 11 base/dirt3
tile base 15 11 base/dirt4
tile base 14 11 base/dirt6
tile base 13 11 base/dirt3
tile base 12 11 base/dirt3
tile base 11 11 base/dirt6
tile base 10 11 base/dirt3
tile base 9 11 base/dirt2
tile base 8 11 base/dirt6
tile base 7 11 base/dirt3
tile base 6 11 base/dirt3
tile base 5 11 base/dirt2
tile base 4 11 base/dirt6
tile base 3 11 base/dirt3
tile base 2 11 base/dirt0
tile base 1 11 base/dirt1
tile base 0 11 base/dirt3
tile base 69 10 base/grass4
tile base 68 10 base/grass3
tile base 67 10 base/grass0
tile base 66 10 base/grass5
tile base 65 10 base/grass4
tile base 64 10 base/grass5
tile base 63 10 base/grass6
tile base 62 10 base/grass1
tile base 61 10 base/grass2
tile base 60 10 base/grass6
tile base 59 10 base/grass0
tile base 58 10 base/grass3
tile base 57 10 base/grass0
tile base 56 10 base/grass2
tile base 55 10 base/grass6
tile base 54 10 base/grass6
tile base 53 10 base/grass5
tile base 52 10 base/grass6
tile base 51 10 base/grass1
tile base 50 10 base/grass5
tile base 49 10 base/grass2
tile base 48 10 base/grass4
tile base 47 10 base/grass0
tile base 46 10 base/grass2
tile base 45 10 base/grass6
tile base 44 10 base/grass4
tile base 43 10 base/grass5
tile base 42 10 base/grass5
tile base 41 10 base/dirt2
tile base 40 10 base/dirt5
tile base 39 10 base/dirt3
tile base 38 10 base/dirt3
tile base 37 10 base/dirt2
tile base 36 10 base/grassdry2
tile base 35 10 base/grassdry0
tile base 34 10 base/grassdry3
tile base 33 10 base/grassdry1
tile base 32 10 base/grassdry4
tile base 31 10 base/dirt0
tile base 30 10 base/dirt4
tile base 29 10 base/dirt4
tile base 28 10 base/dirt2
tile base 27 10 base/dirt2
tile base 26 10 base/dirt4
tile base 25 10 base/dirt0
tile base 24 10 base/dirt0
tile base 23 10 base/dirt2
tile base 22 10 base/dirt5
tile base 21 10 base/dirt3
tile base 20 10 base/dirt2
tile base 19 10 base/dirt1
tile base 18 10 base/dirt2
tile base 17 10 base/dirt2
tile base 16 10 base/dirt0
tile base 15 10 base/dirt4
tile base 14 10 base/dirt2
tile base 13 10 base/dirt1
tile base 12 10 base/dirt5
tile base 11 10 base/dirt6
tile base 10 10 base/dirt5
tile base 9 10 base/dirt2
tile base 8 10 base/dirt6
tile base 7 10 base/dirt0
tile base 6 10 base/dirt1
tile base 5 10 base/dirt4
tile base 4 10 base/dirt6
tile base 3 10 base/dirt5
tile base 2 10 base/dirt3
tile base 1 10 base/dirt0
tile base 0 10 base/dirt5
tile base 69 9 base/grass6
tile base 68 9 base/grass2
tile base 67 9 base/grass6
tile base 66 9 base/grass6
tile base 65 9 base/grass2
tile base 64 9 base/grass6
tile base 63 9 base/grass0
tile base 62 9 base/grass5
tile base 61 9 base/grass5
tile base 60 9 base/grass1
tile base 59 9 base/grass5
tile base 58 9 base/grass3
tile base 57 9 base/grass6
tile base 56 9 base/grass6
tile base 55 9 base/grass0
tile base 54 9 base/grass3
tile base 53 9 base/grass4
tile base 52 9 base/grass1
tile base 51 9 base/grass3
tile base 50 9 base/grass2
tile base 49 9 base/grass4
tile base 48 9 base/grass3
tile base 47 9 base/grass2
tile base 46 9 base/grass6
tile base 45 9 base/grass3
tile base 44 9 base/grass1
tile base 43 9 base/grass0
tile base 42 9 base/grass0
tile base 41 9 base/dirt3
tile base 40 9 base/dirt2
tile base 39 9 base/dirt0
tile base 38 9 base/dirt5
tile base 37 9 base/grassdry0
tile base 36 9 base/grassdry4
tile base 35 9 base/grassdry2
tile base 34 9 base/grassdry1
tile base 33 9 base/grassdry2
tile base 32 9 base/dirt2
tile base 31 9 base/dirt1
tile base 30 9 base/dirt4
tile base 29 9 base/dirt2
tile base 28 9 base/dirt4
tile base 27 9 base/dirt6
tile base 26 9 base/dirt5
tile base 25 9 base/dirt1
tile base 24 9 base/dirt1
tile base 23 9 base/dirt0
tile base 22 9 base/dirt3
tile base 21 9 base/dirt3
tile base 20 9 base/dirt3
tile base 19 9 base/dirt5
tile base 18 9 base/dirt0
tile base 17 9 base/dirt2
tile base 16 9 base/dirt3
tile base 15 9 base/dirt3
tile base 14 9 base/dirt2
tile base 13 9 base/dirt1
tile base 12 9 base/dirt4
tile base 11 9 base/dirt2
tile base 10 9 base/dirt2
tile base 9 9 base/dirt1
tile base 8 9 base/dirt6
tile base 7 9 base/dirt4
tile base 6 9 base/dirt4
tile base 5 9 base/dirt2
tile base 4 9 base/dirt5
tile base 3 9 base/dirt4
tile base 2 9 base/dirt5
tile base 1 9 base/dirt4
tile base 0 9 base/dirt1
tile base 69 8 base/grass4
tile base 68 8 base/grass5
tile base 67 8 base/grass6
tile base 66 8 base/grass2
tile base 65 8 base/grass2
tile base 64 8 base/grass6
tile base 63 8 base/grass1
tile base 62 8 base/grass2
tile base 61 8 base/grass5
tile base 60 8 base/grass5
tile base 59 8 base/grass6
tile base 58 8 base/grass1
tile base 57 8 base/grass1
tile base 56 8 base/grass3
tile base 55 8 base/grass2
tile base 54 8 base/grass3
tile base 53 8 base/grass6
tile base 52 8 base/grass3
tile base 51 8 base/grass2
tile base 50 8 base/grass0
