size 10 10
tileset cave
visibilityRadius 6
unexplored



item 1 "chest_weapon_superb" 7 6
item 1 "chest_weapon_superb" 2 8
item 1 "chest02" 5 7
item 1 "shortSword_sting" 5 7

tile 0 6 8 layer0/floor5
tile 0 4 8 layer0/floor
tile 0 3 8 layer0/floor
tile 0 2 8 layer0/floor
tile 0 7 7 layer0/floor
tile 0 6 7 layer0/floor6
tile 0 5 7 layer0/floor
tile 0 4 7 layer0/floor4
tile 0 3 7 layer0/floor4
tile 0 2 7 layer0/floor2
tile 0 7 6 layer0/floor
tile 0 6 6 layer0/floor
tile 0 5 6 layer0/floor
tile 0 4 6 layer0/floor4
tile 0 3 6 layer0/floor
tile 0 2 6 layer0/floor
tile 0 7 5 layer0/floor
tile 0 6 5 layer0/floor3
tile 0 5 5 layer0/floor
tile 0 4 5 layer0/floor
tile 0 3 5 layer0/floor
tile 0 2 5 layer0/floor
tile 0 0 5 layer0/chasm
tile 0 7 4 layer0/floor
tile 0 6 4 layer0/floor
tile 0 5 4 layer0/floor3
tile 0 4 4 layer0/floor4
tile 0 3 4 layer0/floor
tile 0 2 4 layer0/chasm
tile 0 1 4 layer0/chasm
tile 0 0 4 layer0/chasm
tile 0 5 3 layer0/floor
tile 0 4 3 layer0/floor2
tile 0 3 3 layer0/chasm
tile 0 2 3 layer0/chasm
tile 0 1 3 layer0/chasm
tile 0 0 3 layer0/chasm
tile 0 6 2 layer0/chasm
tile 0 5 2 layer0/chasm
tile 0 4 2 layer0/chasm
tile 0 3 2 layer0/chasm
tile 0 2 2 layer0/chasm
tile 0 1 2 layer0/chasm
tile 0 0 2 layer0/chasm
tile 0 7 1 layer0/chasm
tile 0 6 1 layer0/chasm
tile 0 5 1 layer0/chasm
tile 0 4 1 layer0/chasm
tile 0 3 1 layer0/chasm
tile 0 2 1 layer0/chasm
tile 0 1 1 layer0/chasm
tile 0 0 1 layer0/chasm
tile 0 7 0 layer0/chasm
tile 0 6 0 layer0/chasm
tile 0 5 0 layer0/chasm
tile 0 4 0 layer0/chasm
tile 0 3 0 layer0/chasm
tile 0 2 0 layer0/chasm
tile 0 1 0 layer0/chasm
tile 0 0 0 layer0/chasm
tile 2 0 5 layer2/chasm-concave-tl
tile 2 0 5 layer2/chasm-convex-br
tile 2 2 4 layer2/chasm-concave-tl
tile 2 2 4 layer2/chasm-convex-br
tile 2 1 4 layer2/chasm-concave-tl
tile 2 1 4 layer2/chasm-convex-br
