size 50 40
tileset outdoor
visibilityRadius 8
unexplored


encounter "demonsLvl18" 40 19
encounter "demonsLvl18" 21 31
encounter "demonsLvl18" 5 29
encounter "demonsLvl18" 9 16
encounter "demonsLvl18" 24 6

item 1 "chest_lock_exceptional" 43 4
item 1 "chest_weapon_superb" 44 5
item 1 "armorstand_superb" 34 10
item 1 "chest_superb" 33 10

tile base 49 39 base/water2
tile base 48 39 base/water0
tile base 47 39 base/water3
tile base 46 39 base/water2
tile base 45 39 base/water4
tile base 44 39 base/water4
tile base 43 39 base/water3
tile base 42 39 base/water1
tile base 41 39 base/water4
tile base 40 39 base/water3
tile base 39 39 base/water3
tile base 38 39 base/water3
tile base 37 39 base/water4
tile base 36 39 base/water3
tile base 35 39 base/water1
tile base 34 39 base/water4
tile base 33 39 base/water0
tile base 32 39 base/water3
tile base 31 39 base/water2
tile base 30 39 base/water2
tile base 29 39 base/water4
tile base 28 39 base/water0
tile base 27 39 base/water3
tile base 26 39 base/water1
tile base 25 39 base/water0
tile base 24 39 base/water0
tile base 23 39 base/water1
tile base 22 39 base/water4
tile base 21 39 base/water0
tile base 20 39 base/water4
tile base 19 39 base/water3
tile base 18 39 base/water3
tile base 17 39 base/water1
tile base 16 39 base/water0
tile base 15 39 base/water3
tile base 14 39 base/water2
tile base 13 39 base/water2
tile base 12 39 base/water3
tile base 11 39 base/water2
tile base 10 39 base/water3
tile base 9 39 base/water0
tile base 8 39 base/water0
tile base 7 39 base/water1
tile base 6 39 base/water3
tile base 5 39 base/water2
tile base 4 39 base/water4
tile base 3 39 base/water2
tile base 2 39 base/water2
tile base 1 39 base/water2
tile base 0 39 base/water0
tile base 49 38 base/water1
tile base 48 38 base/water3
tile base 47 38 base/water0
tile base 46 38 base/water1
tile base 45 38 base/water4
tile base 44 38 base/water4
tile base 43 38 base/water2
tile base 42 38 base/water2
tile base 41 38 base/water1
tile base 40 38 base/water2
tile base 39 38 base/water4
tile base 38 38 base/water2
tile base 37 38 base/water2
tile base 36 38 base/water0
tile base 35 38 base/water1
tile base 34 38 base/water2
tile base 33 38 base/water4
tile base 32 38 base/water4
tile base 31 38 base/water2
tile base 30 38 base/water4
tile base 29 38 base/water2
tile base 28 38 base/water4
tile base 27 38 base/water0
tile base 26 38 base/water4
tile base 25 38 base/water2
tile base 24 38 base/water4
tile base 23 38 base/water1
tile base 22 38 base/water3
tile base 21 38 base/water3
tile base 20 38 base/water4
tile base 19 38 base/water2
tile base 18 38 base/water3
tile base 17 38 base/water3
tile base 16 38 base/ice1
tile base 15 38 base/water0
tile base 14 38 base/water2
tile base 13 38 base/water3
tile base 12 38 base/water1
tile base 11 38 base/water3
tile base 10 38 base/water4
tile base 9 38 base/water0
tile base 8 38 base/ice2
tile base 7 38 base/water4
tile base 6 38 base/water1
tile base 5 38 base/water0
tile base 4 38 base/water2
tile base 3 38 base/water1
tile base 2 38 base/water2
tile base 1 38 base/water0
tile base 0 38 base/water3
tile base 49 37 base/water0
tile base 48 37 base/water2
tile base 47 37 base/water1
tile base 46 37 base/water4
tile base 45 37 base/water4
tile base 44 37 base/ice0
tile base 43 37 base/ice5
tile base 42 37 base/ice4
tile base 41 37 base/water1
tile base 40 37 base/water0
tile base 39 37 base/water4
tile base 38 37 base/water3
tile base 37 37 base/water1
tile base 36 37 base/water1
tile base 35 37 base/water0
tile base 34 37 base/water4
tile base 33 37 base/water3
tile base 32 37 base/water2
tile base 31 37 base/water2
tile base 30 37 base/water4
tile base 29 37 base/water0
tile base 28 37 base/water0
tile base 27 37 base/water0
tile base 26 37 base/water0
tile base 25 37 base/water0
tile base 24 37 base/water3
tile base 23 37 base/water1
tile base 22 37 base/water4
tile base 21 37 base/water3
tile base 20 37 base/ice1
tile base 19 37 base/water1
tile base 18 37 base/ice0
tile base 17 37 base/ice4
tile base 16 37 base/ice0
tile base 15 37 base/ice4
tile base 14 37 base/ice1
tile base 13 37 base/ice1
tile base 12 37 base/ice3
tile base 11 37 base/water0
tile base 10 37 base/ice2
tile base 9 37 base/ice5
tile base 8 37 base/ice1
tile base 7 37 base/ice1
tile base 6 37 base/ice0
tile base 5 37 base/water3
tile base 4 37 base/water3
tile base 3 37 base/water0
tile base 2 37 base/water1
tile base 1 37 base/water0
tile base 0 37 base/water0
tile base 49 36 base/water0
tile base 48 36 base/ice2
tile base 47 36 base/ice5
tile base 46 36 base/ice5
tile base 45 36 base/ice2
tile base 44 36 base/ice4
tile base 43 36 base/ice4
tile base 42 36 base/ice5
tile base 41 36 base/ice1
tile base 40 36 base/ice5
tile base 39 36 base/water1
tile base 38 36 base/ice4
tile base 37 36 base/water1
tile base 36 36 base/water3
tile base 35 36 base/water0
tile base 34 36 base/water0
tile base 33 36 base/water4
tile base 32 36 base/water0
tile base 31 36 base/water2
tile base 30 36 base/water3
tile base 29 36 base/water2
tile base 28 36 base/water3
tile base 27 36 base/water0
tile base 26 36 base/water3
tile base 25 36 base/water2
tile base 24 36 base/water3
tile base 23 36 base/water1
tile base 22 36 base/ice2
tile base 21 36 base/ice5
tile base 20 36 base/ice1
tile base 19 36 base/ice5
tile base 18 36 base/ice4
tile base 17 36 base/ice5
tile base 16 36 base/ice1
tile base 15 36 base/ice1
tile base 14 36 base/ice3
tile base 13 36 base/ice4
tile base 12 36 base/ice4
tile base 11 36 base/ice2
tile base 10 36 base/ice1
tile base 9 36 base/ice0
tile base 8 36 base/ice5
tile base 7 36 base/ice5
tile base 6 36 base/ice4
tile base 5 36 base/water1
tile base 4 36 base/water0
tile base 3 36 base/water2
tile base 2 36 base/water2
tile base 1 36 base/water1
tile base 0 36 base/water2
tile base 49 35 base/ice1
tile base 48 35 base/ice1
tile base 47 35 base/ice4
tile base 46 35 base/ice1
tile base 45 35 base/ice5
tile base 44 35 base/ice2
tile base 43 35 base/ice3
tile base 42 35 base/ice1
tile base 41 35 base/ice0
tile base 40 35 base/ice2
tile base 39 35 base/ice0
tile base 38 35 base/ice2
tile base 37 35 base/ice3
tile base 36 35 base/ice1
tile base 35 35 base/water3
tile base 34 35 base/ice4
tile base 33 35 base/water1
tile base 32 35 base/water2
