size 30 65
tileset outdoor
visibilityRadius 8
unexplored


encounter "demonsLvl20" 18 56
encounter "demonsLvl20" 18 47
encounter "demonsLvl20" 5 39
encounter "demonsLvl20" 14 37
encounter "demonsLvl20" 23 37
encounter "demonsLvl20" 22 22
encounter "demonsLvl20" 6 17
encounter "demonsLvl20" 19 9

item 1 "chest_exceptional" 14 56
item 1 "chest_lock_exceptional" 13 40
item 1 "armorstand_exceptional" 15 40
item 1 "armorstand_exceptional" 24 20
item 1 "chest_exceptional" 23 19
item 1 "armorstand_exceptional" 23 11
item 1 "chest02" 24 11
item 1 "longsword_chillingBlade" 24 11
item 1 "chest_lock_exceptional" 22 12

tile base 29 64 base/snow1
tile base 28 64 base/snow0
tile base 27 64 base/snow1
tile base 26 64 base/snow0
tile base 25 64 base/snow0
tile base 24 64 base/snow1
tile base 23 64 base/snow0
tile base 22 64 base/snow2
tile base 21 64 base/snow2
tile base 20 64 base/snow1
tile base 19 64 base/snow1
tile base 18 64 base/snow0
tile base 17 64 base/snow1
tile base 16 64 base/snow1
tile base 15 64 base/snow0
tile base 14 64 base/snow2
tile base 13 64 base/snow0
tile base 12 64 base/snow0
tile base 11 64 base/snow2
tile base 10 64 base/snow0
tile base 9 64 base/snow2
tile base 8 64 base/snow1
tile base 7 64 base/snow1
tile base 6 64 base/snow1
tile base 5 64 base/snow2
tile base 4 64 base/snow1
tile base 3 64 base/snow0
tile base 2 64 base/snow1
tile base 1 64 base/snow1
tile base 0 64 base/snow2
tile base 29 63 base/snow1
tile base 28 63 base/snow2
tile base 27 63 base/snow0
tile base 26 63 base/snow0
tile base 25 63 base/snow0
tile base 24 63 base/snow1
tile base 23 63 base/snow2
tile base 22 63 base/snow0
tile base 21 63 base/snow1
tile base 20 63 base/snow1
tile base 19 63 base/snow2
tile base 18 63 base/snow0
tile base 17 63 base/snow2
tile base 16 63 base/snow1
tile base 15 63 base/snow2
tile base 14 63 base/snow1
tile base 13 63 base/snow0
tile base 12 63 base/snow1
tile base 11 63 base/snow1
tile base 10 63 base/snow1
tile base 9 63 base/snow1
tile base 8 63 base/snow1
tile base 7 63 base/snow1
tile base 6 63 base/snow0
tile base 5 63 base/snow1
tile base 4 63 base/snow1
tile base 3 63 base/snow0
tile base 2 63 base/snow1
tile base 1 63 base/snow2
tile base 0 63 base/snow0
tile base 29 62 base/snow1
tile base 28 62 base/snow2
tile base 27 62 base/snow0
tile base 26 62 base/snow0
tile base 25 62 base/snow2
tile base 24 62 base/snow2
tile base 23 62 base/snow1
tile base 22 62 base/snow1
tile base 21 62 base/snow1
tile base 20 62 base/snow2
tile base 19 62 base/snow0
tile base 18 62 base/snow2
tile base 17 62 base/snow2
tile base 16 62 base/snow2
tile base 15 62 base/snow2
tile base 14 62 base/snow1
tile base 13 62 base/snow1
tile base 12 62 base/snow1
tile base 11 62 base/snow1
tile base 10 62 base/snow1
tile base 9 62 base/snow0
tile base 8 62 base/snow0
tile base 7 62 base/snow2
tile base 6 62 base/snow1
tile base 5 62 base/snow1
tile base 4 62 base/snow1
tile base 3 62 base/snow0
tile base 2 62 base/snow2
tile base 1 62 base/snow1
tile base 0 62 base/snow1
tile base 29 61 base/snow0
tile base 28 61 base/snow2
tile base 27 61 base/snow1
tile base 26 61 base/snow0
tile base 25 61 base/snow0
tile base 24 61 base/snow0
tile base 23 61 base/snow2
tile base 22 61 base/snow0
tile base 21 61 base/snow2
tile base 20 61 base/snow2
tile base 19 61 base/snow1
tile base 18 61 base/snow1
tile base 17 61 base/snow1
tile base 16 61 base/snow0
tile base 15 61 base/snow0
tile base 14 61 base/snow1
tile base 13 61 base/snow2
tile base 12 61 base/snow0
tile base 11 61 base/snow2
tile base 10 61 base/snow0
tile base 9 61 base/snow1
tile base 8 61 base/snow2
tile base 7 61 base/snow1
tile base 6 61 base/snow1
tile base 5 61 base/snow2
tile base 4 61 base/snow1
tile base 3 61 base/snow1
tile base 2 61 base/snow2
tile base 1 61 base/snow0
tile base 0 61 base/snow1
tile base 29 60 base/snow1
tile base 28 60 base/snow2
tile base 27 60 base/snow1
tile base 26 60 base/snow1
tile base 25 60 base/snow1
tile base 24 60 base/snow2
tile base 23 60 base/snow1
tile base 22 60 base/snow1
tile base 21 60 base/snow0
tile base 20 60 base/snow1
tile base 19 60 base/snow0
tile base 18 60 base/snow2
tile base 17 60 base/snow2
tile base 16 60 base/snow1
tile base 15 60 base/snow1
tile base 14 60 base/snow2
tile base 13 60 base/snow0
tile base 12 60 base/snow1
tile base 11 60 base/snow0
tile base 10 60 base/snow0
tile base 9 60 base/snow0
tile base 8 60 base/snow1
tile base 7 60 base/snow2
tile base 6 60 base/snow0
tile base 5 60 base/snow1
tile base 4 60 base/snow1
tile base 3 60 base/snow1
tile base 2 60 base/snow2
tile base 1 60 base/snow1
tile base 0 60 base/snow0
tile base 29 59 base/snow2
tile base 28 59 base/snow1
tile base 27 59 base/snow0
tile base 26 59 base/snow0
tile base 25 59 base/snow2
tile base 24 59 base/snow0
tile base 23 59 base/snow1
tile base 22 59 base/snow1
tile base 21 59 base/snow1
tile base 20 59 base/snow1
tile base 19 59 base/snow0
tile base 18 59 base/snow1
tile base 17 59 base/snow1
tile base 16 59 base/snow1
tile base 15 59 base/snow0
tile base 14 59 base/snow1
tile base 13 59 base/snow1
tile base 12 59 base/snow1
tile base 11 59 base/snow1
tile base 10 59 base/snow0
tile base 9 59 base/snow0
tile base 8 59 base/snow2
tile base 7 59 base/snow1
tile base 6 59 base/snow0
