size 40 40
tileset outdoor
visibilityRadius 6
unexplored


encounter "undeadLvl15" 16 15
encounter "undeadLvl15" 29 11
encounter "undeadLvl15" 24 19
encounter "undeadLvl15" 8 15
encounter "undeadLvl15" 4 19
encounter "undeadLvl16" 4 33
encounter "undeadLvl16" 35 10
encounter "undeadLvl16" 34 23
encounter "undeadLvl16" 31 32
encounter "undeadLvl15" 20 5
encounter "undeadLvl16" 10 29
encounter "narkel" 20 34

item 1 "narkelLvl2_door1" 17 19
item 1 "narkelLvl2_door2" 19 20
item 1 "ruraldoor_SE" 13 13
item 1 "ruraldoor_SW" 19 13
item 1 "ruraldoor_SW" 35 31
item 1 "ruraldoor_SW" 37 32
item 1 "ruraldoor_SW" 30 16
item 1 "ruraldoor_SW" 26 14
item 1 "ruraldoor_SW" 9 12
item 1 "ruraldoor_SW" 3 9
item 1 "ruraldoor_SW" 9 31
item 1 "ruraldoor_SE" 9 17
item 1 "chest_superb" 33 10
item 1 "narkelLvl2_door2Key" 33 10
item 1 "armor_leather_night" 33 10
item 1 "chest_superb" 5 34
item 1 "narkelLvl2_door1Key" 5 34
item 1 "armor_mail_mithril" 5 34
item 1 "chest_superb" 36 2
item 1 "chest_lock_superb" 19 17
item 1 "chest_lock_superb" 4 35
item 1 "chest_weapon_superb" 33 11
item 1 "armorstand_superb" 3 21
item 1 "chest_lock_superb" 2 24
item 1 "chest_superb" 11 25
item 1 "chest_weapon_superb" 24 27

tile base 39 39 base/path0
tile base 38 39 base/path3
tile base 37 39 base/path1
tile base 36 39 base/path0
tile base 35 39 base/path2
tile base 34 39 base/path0
tile base 33 39 base/path2
tile base 32 39 base/path0
tile base 31 39 base/path2
tile base 30 39 base/path3
tile base 29 39 base/path2
tile base 28 39 base/path3
tile base 27 39 base/path2
tile base 26 39 base/path3
tile base 25 39 base/path1
tile base 24 39 base/path1
tile base 23 39 base/path1
tile base 22 39 base/path3
tile base 21 39 base/path3
tile base 20 39 base/path3
tile base 19 39 base/path2
tile base 18 39 base/path3
tile base 17 39 base/path1
tile base 16 39 base/path3
tile base 15 39 base/path0
tile base 14 39 base/path3
tile base 13 39 base/path0
tile base 12 39 base/path0
tile base 11 39 base/path1
tile base 10 39 base/path1
tile base 9 39 base/path3
tile base 8 39 base/path0
tile base 7 39 base/path0
tile base 3 39 base/path2
tile base 2 39 base/path3
tile base 1 39 base/path1
tile base 0 39 base/path1
tile base 39 38 base/path2
tile base 38 38 base/path2
tile base 37 38 base/path1
tile base 36 38 base/path2
tile base 35 38 base/path3
tile base 34 38 base/path3
tile base 33 38 base/path1
tile base 31 38 base/path3
tile base 30 38 base/path0
tile base 29 38 base/path1
tile base 28 38 base/path3
tile base 27 38 base/path0
tile base 26 38 base/path3
tile base 25 38 base/path0
tile base 24 38 base/path2
tile base 23 38 base/path3
tile base 22 38 base/path3
tile base 21 38 base/path3
tile base 19 38 base/path2
tile base 18 38 base/path1
tile base 17 38 base/path1
tile base 16 38 base/path1
tile base 15 38 base/path0
tile base 14 38 base/path1
tile base 13 38 base/path0
tile base 12 38 base/path3
tile base 11 38 base/path0
tile base 10 38 base/path1
tile base 9 38 base/path3
tile base 6 38 base/path2
tile base 5 38 base/path1
tile base 4 38 base/path2
tile base 1 38 base/path0
tile base 0 38 base/path1
tile base 39 37 base/path0
tile base 38 37 base/path3
tile base 37 37 base/path3
tile base 36 37 base/path1
tile base 35 37 base/path3
tile base 32 37 base/path2
tile base 29 37 base/path1
tile base 28 37 base/path1
tile base 27 37 base/path2
tile base 26 37 base/path0
tile base 25 37 base/path2
tile base 24 37 base/path2
tile base 23 37 base/path1
tile base 20 37 base/path3
tile base 17 37 base/path2
tile base 16 37 base/path1
tile base 15 37 base/path0
tile base 14 37 base/path0
tile base 13 37 base/path1
tile base 12 37 base/path3
tile base 11 37 base/path1
tile base 8 37 base/path0
tile base 7 37 base/path3
tile base 6 37 base/path2
tile base 5 37 base/path3
tile base 4 37 base/path2
tile base 3 37 base/path0
tile base 2 37 base/path0
tile base 0 37 base/path0
tile base 39 36 base/path1
tile base 38 36 base/path2
tile base 37 36 base/path2
tile base 34 36 base/path3
tile base 33 36 base/path2
tile base 31 36 base/path1
tile base 30 36 base/path2
tile base 27 36 base/path0
tile base 26 36 base/path2
tile base 25 36 base/path0
tile base 22 36 base/path3
tile base 21 36 base/path0
tile base 20 36 base/path3
tile base 19 36 base/path2
tile base 18 36 base/path3
tile base 15 36 base/path0
tile base 14 36 base/path0
tile base 13 36 base/path2
tile base 10 36 base/path3
tile base 9 36 base/path0
tile base 8 36 base/path1
tile base 7 36 base/path0
tile base 3 36 base/path1
tile base 2 36 base/path2
tile base 0 36 base/path0
tile base 39 35 base/path3
tile base 36 35 base/path2
tile base 35 35 base/path2
tile base 33 35 base/path2
tile base 32 35 base/path0
tile base 31 35 base/path3
tile base 29 35 base/path3
tile base 24 35 base/path3
tile base 23 35 base/path1
tile base 22 35 base/path0
tile base 21 35 base/path3
tile base 20 35 base/path3
tile base 19 35 base/path0
tile base 18 35 base/path0
tile base 17 35 base/path0
tile base 16 35 base/path1
tile base 12 35 base/path1
tile base 11 35 base/path2
tile base 10 35 base/path3
tile base 9 35 base/path0
tile base 8 35 base/path0
tile base 4 35 base/path2
tile base 3 35 base/path3
tile base 2 35 base/path0
tile base 0 35 base/path0
tile base 39 34 base/path3
tile base 37 34 base/path2
tile base 35 34 base/path2
tile base 34 34 base/path3
tile base 33 34 base/path2
tile base 31 34 base/path1
tile base 30 34 base/path1
tile base 29 34 base/path1
tile base 26 34 base/path0
tile base 25 34 base/path3
tile base 24 34 base/path0
tile base 23 34 base/path3
tile base 22 34 base/path2
tile base 21 34 base/path0
tile base 20 34 base/path2
tile base 19 34 base/path0
tile base 18 34 base/path0
tile base 17 34 base/path3
tile base 16 34 base/path2
tile base 15 34 base/path0
tile base 14 34 base/path1
tile base 12 34 base/path1
tile base 11 34 base/path1
tile base 10 34 base/path2
tile base 9 34 base/path1
tile base 8 34 base/path0
tile base 5 34 base/path0
tile base 4 34 base/path2
tile base 3 34 base/path0
tile base 2 34 base/path3
tile base 0 34 base/path2
tile base 39 33 base/path3
tile base 37 33 base/path1
tile base 36 33 base/path0
tile base 35 33 base/path3
tile base 33 33 base/path2
tile base 32 33 base/path3
tile base 31 33 base/path3
tile base 29 33 base/path0
tile base 26 33 base/path3
tile base 25 33 base/path1
tile base 24 33 base/path1
tile base 23 33 base/path0
tile base 22 33 base/path1
tile base 21 33 base/path0
tile base 20 33 base/path3
tile base 19 33 base/path0
tile base 18 33 base/path2
tile base 17 33 base/path0
tile base 16 33 base/path2
tile base 15 33 base/path3
tile base 14 33 base/path1
tile base 12 33 base/path3
tile base 11 33 base/path3
tile base 10 33 base/path2
tile base 9 33 base/path0
tile base 8 33 base/path1
tile base 7 33 base/path0
tile base 6 33 base/path1
tile base 5 33 base/path2
tile base 4 33 base/path0
tile base 3 33 base/path2
tile base 2 33 base/path2
tile base 0 33 base/path0
tile base 39 32 base/path2
tile base 37 32 base/path3
tile base 35 32 base/path2
tile base 34 32 base/path3
tile base 33 32 base/path1
tile base 31 32 base/path2
tile base 30 32 base/path0
tile base 29 32 base/path0
tile base 26 32 base/path0
tile base 25 32 base/path0
tile base 24 32 base/path1
tile base 23 32 base/path3
tile base 22 32 base/path1
tile base 21 32 base/path1
tile base 20 32 base/path0
tile base 19 32 base/path1
tile base 18 32 base/path1
tile base 17 32 base/path0
tile base 16 32 base/path0
tile base 15 32 base/path0
tile base 14 32 base/path3
