name "Plate Armor"
description "Creates plate armor. The quality is dependant on your Craft Armor skill."
skill "CraftArmor"
skillRequirement 55
result "armor_plate_base"
resultQuantity 1
resultHasQuality "true
resultIsIngredient false
ingredient "leather" 2
ingredient "thread" 10
ingredient "coal" 12
ingredient "bar_iron" 15
qualityModifier 45 ""
qualityModifier 65 ""
qualityModifier 85 ""
qualityModifier 105 ""
qualityModifier 125 ""
qualityModifier 145 ""
qualityModifier 160 ""
qualityModifier 170 ""
