name "Buckler"
description "Creates a buckler shield.  The quality is dependant on your Craft Armor skill."
skill "CraftArmor"
skillRequirement 5
result "shield_buckler_base"
resultQuantity 1
resultHasQuality "true
resultIsIngredient false
ingredient "bar_wood" 1
ingredient "bar_iron" 1
ingredient "coal" 1
qualityModifier 5 ""
qualityModifier 25 ""
qualityModifier 45 ""
qualityModifier 65 ""
qualityModifier 85 ""
qualityModifier 105 ""
qualityModifier 125 ""
qualityModifier 145 ""
