name "Amulet of Spell Resistance"
description "Adds spell resistance to an amulet.  The amount of spell resistance depends on your enchanting skill."
skill "Enchanting"
skillRequirement 40
resultQuantity 1
resultHasQuality "true
anyItemOfTypeIngredient "AMULET"
resultIsIngredient true
ingredient "bar_silver" 1
ingredient "gem09" 1
ingredient "crystal_red" 1
qualityModifier 30 "entity.addBonus('SpellResistance',  10);"
qualityModifier 50 "entity.addBonus('SpellResistance',  15);"
qualityModifier 70 "entity.addBonus('SpellResistance',  20);"
qualityModifier 90 "entity.addBonus('SpellResistance',  25);"
qualityModifier 110 "entity.addBonus('SpellResistance',  30);"
qualityModifier 130 "entity.addBonus('SpellResistance',  35);"
qualityModifier 150 "entity.addBonus('SpellResistance',  40);"
qualityModifier 170 "entity.addBonus('SpellResistance',  45);"
