size 50 50
tileset outdoor
visibilityRadius 8
unexplored


encounter "wolves_lvl04" 7 11
encounter "wolves_lvl04" 5 25
encounter "orcs_lvl04" 38 45
encounter "bear_lvl04" 19 30
encounter "wolves_lvl04" 5 38
encounter "wolves_lvl04" 20 44
encounter "orcs_lvl04" 15 20
encounter "orcs_lvl04" 13 29
encounter "blackRiverCrossing_soldier" 35 30
encounter "blackRiverCrossingBarrels" 38 37

item 1 "chest_level05" 43 44
item 1 "chest_level10" 13 16
item 1 "armorstand_level10" 13 20
item 1 "chest_weapon_level10" 13 19
item 1 "chest_lock_level10" 43 46

tile base 49 49 base/water3
tile base 48 49 base/water4
tile base 47 49 base/water2
tile base 46 49 base/water3
tile base 45 49 base/water3
tile base 44 49 base/grass0
tile base 43 49 base/grass6
tile base 42 49 base/grass5
tile base 41 49 base/grass2
tile base 40 49 base/grass0
tile base 39 49 base/grass4
tile base 38 49 base/grass3
tile base 37 49 base/grass4
tile base 36 49 base/grass3
tile base 35 49 base/grass6
tile base 34 49 base/grass1
tile base 33 49 base/grass1
tile base 32 49 base/grass5
tile base 31 49 base/grass1
tile base 30 49 base/grass6
tile base 29 49 base/grass2
tile base 28 49 base/grass4
tile base 27 49 base/grass6
tile base 26 49 base/grass5
tile base 25 49 base/grass2
tile base 24 49 base/grass5
tile base 23 49 base/grass1
tile base 22 49 base/grass2
tile base 21 49 base/grass6
tile base 20 49 base/grass1
tile base 19 49 base/grass2
tile base 18 49 base/grass1
tile base 17 49 base/grass6
tile base 16 49 base/grass0
tile base 15 49 base/grass6
tile base 14 49 base/grass0
tile base 13 49 base/grass5
tile base 12 49 base/grass2
tile base 11 49 base/grass5
tile base 10 49 base/grass4
tile base 9 49 base/grass6
tile base 8 49 base/grass6
tile base 7 49 base/grass0
tile base 6 49 base/grass5
tile base 5 49 base/grass1
tile base 4 49 base/grass0
tile base 3 49 base/grass2
tile base 2 49 base/grass1
tile base 1 49 base/grass3
tile base 0 49 base/grass2
tile base 49 48 base/water3
tile base 48 48 base/water2
tile base 47 48 base/water0
tile base 46 48 base/water4
tile base 45 48 base/water3
tile base 44 48 base/grass3
tile base 43 48 base/grass4
tile base 42 48 base/grass4
tile base 41 48 base/grass0
tile base 40 48 base/grass4
tile base 39 48 base/grass3
tile base 38 48 base/grass5
tile base 37 48 base/grass2
tile base 36 48 base/grass4
tile base 35 48 base/grass4
tile base 34 48 base/grass0
tile base 33 48 base/grass2
tile base 32 48 base/grass2
tile base 31 48 base/grass5
tile base 30 48 base/grass5
tile base 29 48 base/grass4
tile base 28 48 base/grass0
tile base 27 48 base/grass1
tile base 26 48 base/grass3
tile base 25 48 base/grass5
tile base 24 48 base/grass6
tile base 23 48 base/grass5
tile base 22 48 base/grass5
tile base 21 48 base/grass0
tile base 20 48 base/grass0
tile base 19 48 base/grass1
tile base 18 48 base/grass0
tile base 17 48 base/grass4
tile base 16 48 base/grass5
tile base 15 48 base/grass2
tile base 14 48 base/grass6
tile base 13 48 base/grass1
tile base 12 48 base/grass2
tile base 11 48 base/grass0
tile base 10 48 base/grass0
tile base 9 48 base/grass3
tile base 8 48 base/grass0
tile base 7 48 base/grass0
tile base 6 48 base/grass6
tile base 5 48 base/grass2
tile base 4 48 base/grass3
tile base 3 48 base/grass4
tile base 2 48 base/grass4
tile base 1 48 base/grass5
tile base 0 48 base/grass3
tile base 49 47 base/water4
tile base 48 47 base/water3
tile base 47 47 base/water1
tile base 46 47 base/water4
tile base 45 47 base/water3
tile base 44 47 base/water1
tile base 43 47 base/grass4
tile base 42 47 base/grass3
tile base 41 47 base/grass0
tile base 40 47 base/grass0
tile base 39 47 base/grass4
tile base 38 47 base/grass6
tile base 37 47 base/grass2
tile base 36 47 base/grass0
tile base 35 47 base/grass3
tile base 34 47 base/grass0
tile base 33 47 base/grass5
tile base 32 47 base/grass4
tile base 31 47 base/grass0
tile base 30 47 base/grass3
tile base 29 47 base/grass4
tile base 28 47 base/grass3
tile base 27 47 base/grass2
tile base 26 47 base/grass1
tile base 25 47 base/grass0
tile base 24 47 base/grass1
tile base 23 47 base/grass5
tile base 22 47 base/grass6
tile base 21 47 base/grass2
tile base 20 47 base/grass0
tile base 19 47 base/grass2
tile base 18 47 base/grass5
tile base 17 47 base/grass6
tile base 16 47 base/grass0
tile base 15 47 base/grass0
tile base 14 47 base/path0
tile base 13 47 base/grass2
tile base 12 47 base/grass6
tile base 11 47 base/grass5
tile base 10 47 base/grass4
tile base 9 47 base/grass5
tile base 8 47 base/grass2
tile base 7 47 base/grass3
tile base 6 47 base/grass0
tile base 5 47 base/grass1
tile base 4 47 base/grass0
tile base 3 47 base/grass0
tile base 2 47 base/grass2
tile base 1 47 base/grass2
tile base 0 47 base/grass4
tile base 49 46 base/water3
tile base 48 46 base/water3
tile base 47 46 base/water1
tile base 46 46 base/water4
tile base 45 46 base/water2
tile base 44 46 base/water3
tile base 43 46 base/grass6
tile base 42 46 base/grass2
tile base 41 46 base/grass4
tile base 40 46 base/grass5
tile base 39 46 base/grass0
tile base 38 46 base/grass5
tile base 37 46 base/grass2
tile base 36 46 base/grass5
tile base 35 46 base/grass2
tile base 34 46 base/grass6
tile base 33 46 base/grass6
tile base 32 46 base/grass4
tile base 31 46 base/grass5
tile base 30 46 base/grass1
tile base 29 46 base/grass6
tile base 28 46 base/grass4
tile base 27 46 base/grass3
tile base 26 46 base/grass6
tile base 25 46 base/grass6
tile base 24 46 base/grassdry5
tile base 23 46 base/grassdry4
tile base 22 46 base/grass5
tile base 21 46 base/grass6
tile base 20 46 base/grass4
tile base 19 46 base/grass4
tile base 18 46 base/grass3
tile base 17 46 base/grass5
tile base 16 46 base/path1
tile base 15 46 base/path0
tile base 14 46 base/grass0
tile base 13 46 base/path3
tile base 12 46 base/path2
tile base 11 46 base/grass2
tile base 10 46 base/grass6
tile base 9 46 base/grass2
tile base 8 46 base/grass0
tile base 7 46 base/grass3
tile base 6 46 base/grass0
tile base 5 46 base/grass4
tile base 4 46 base/grass6
tile base 3 46 base/grass0
tile base 2 46 base/grass6
tile base 1 46 base/grass3
tile base 0 46 base/grass3
tile base 49 45 base/water1
tile base 48 45 base/water4
tile base 47 45 base/water3
tile base 46 45 base/water2
tile base 45 45 base/water4
tile base 44 45 base/water2
tile base 43 45 base/grass3
tile base 42 45 base/grass6
tile base 41 45 base/grass0
tile base 40 45 base/grass5
tile base 39 45 base/grass5
tile base 38 45 base/grass0
tile base 37 45 base/grass6
tile base 36 45 base/grass4
tile base 35 45 base/grass2
tile base 34 45 base/grass4
tile base 33 45 base/grass1
tile base 32 45 base/grass0
tile base 31 45 base/grass1
tile base 30 45 base/grass6
tile base 29 45 base/grass3
tile base 28 45 base/grass3
tile base 27 45 base/grass0
tile base 26 45 base/grass2
tile base 25 45 base/grass4
tile base 24 45 base/grassdry5
tile base 23 45 base/grassdry5
tile base 22 45 base/grass4
tile base 21 45 base/grass6
tile base 20 45 base/grass6
tile base 19 45 base/grass6
tile base 18 45 base/path1
tile base 17 45 base/path2
tile base 16 45 base/grass2
tile base 15 45 base/grass0
tile base 14 45 base/grass6
tile base 13 45 base/grass5
tile base 12 45 base/grass5
tile base 11 45 base/path3
tile base 10 45 base/path0
tile base 9 45 base/grass0
tile base 8 45 base/grass3
tile base 7 45 base/grass3
tile base 6 45 base/grass6
tile base 5 45 base/grass5
tile base 4 45 base/grass4
tile base 3 45 base/grass2
