size 30 30
tileset outdoor
visibilityRadius 10
unexplored


encounter "fareach_farmers" 7 6
encounter "fareach_north" 21 9
encounter "fareach_south" 11 14
encounter "fareach_east" 22 17

item 1 "workbench" 18 14

tile base 29 29 base/grass3
tile base 28 29 base/grass4
tile base 27 29 base/grass5
tile base 26 29 base/grass2
tile base 25 29 base/grass2
tile base 24 29 base/grass1
tile base 23 29 base/grass6
tile base 22 29 base/grass6
tile base 21 29 base/grass5
tile base 20 29 base/grass2
tile base 19 29 base/water1
tile base 18 29 base/water4
tile base 17 29 base/water4
tile base 16 29 base/water1
tile base 15 29 base/grass5
tile base 14 29 base/grass4
tile base 13 29 base/grass0
tile base 12 29 base/grass6
tile base 11 29 base/grass6
tile base 10 29 base/grass4
tile base 9 29 base/grass3
tile base 8 29 base/grass4
tile base 7 29 base/grass0
tile base 6 29 base/grass1
tile base 5 29 base/grass3
tile base 4 29 base/grass5
tile base 3 29 base/grass5
tile base 2 29 base/grass5
tile base 1 29 base/grass0
tile base 0 29 base/grass2
tile base 29 28 base/grass5
tile base 28 28 base/grass4
tile base 27 28 base/grass0
tile base 26 28 base/grass1
tile base 25 28 base/grass4
tile base 24 28 base/grass4
tile base 23 28 base/grass0
tile base 22 28 base/grass1
tile base 21 28 base/grass6
tile base 20 28 base/grass3
tile base 19 28 base/water2
tile base 18 28 base/water3
tile base 17 28 base/water4
tile base 16 28 base/water1
tile base 15 28 base/grass5
tile base 14 28 base/grass4
tile base 13 28 base/grass2
tile base 12 28 base/grass1
tile base 11 28 base/grass2
tile base 10 28 base/grass5
tile base 9 28 base/grass0
tile base 8 28 base/grass4
tile base 7 28 base/grass6
tile base 6 28 base/grass6
tile base 5 28 base/grass1
tile base 4 28 base/grass5
tile base 3 28 base/grass0
tile base 2 28 base/grass4
tile base 1 28 base/grass3
tile base 0 28 base/grass6
tile base 29 27 base/grass1
tile base 28 27 base/grass0
tile base 27 27 base/grass4
tile base 26 27 base/grass6
tile base 25 27 base/grass3
tile base 24 27 base/grass1
tile base 23 27 base/grass1
tile base 22 27 base/grass1
tile base 21 27 base/grass6
tile base 20 27 base/grass5
tile base 19 27 base/water4
tile base 18 27 base/water3
tile base 17 27 base/water4
tile base 16 27 base/grass3
tile base 15 27 base/grass4
tile base 14 27 base/grass0
tile base 13 27 base/grass1
tile base 12 27 base/grass5
tile base 11 27 base/grass2
tile base 10 27 base/grass0
tile base 9 27 base/grass6
tile base 8 27 base/grass1
tile base 7 27 base/grass3
tile base 6 27 base/grass6
tile base 5 27 base/grass6
tile base 4 27 base/grass3
tile base 3 27 base/grass5
tile base 2 27 base/grass3
tile base 1 27 base/grass0
tile base 0 27 base/grass1
tile base 29 26 base/grass3
tile base 28 26 base/grass6
tile base 27 26 base/grass1
tile base 26 26 base/grass1
tile base 25 26 base/grass6
tile base 24 26 base/grass4
tile base 23 26 base/grass5
tile base 22 26 base/grass4
tile base 21 26 base/grass3
tile base 20 26 base/grass3
tile base 19 26 base/grass1
tile base 18 26 base/water3
tile base 17 26 base/water4
tile base 16 26 base/grass5
tile base 15 26 base/grass2
tile base 14 26 base/grass0
tile base 13 26 base/grass3
tile base 12 26 base/water1
tile base 11 26 base/water1
tile base 10 26 base/water2
tile base 9 26 base/grass4
tile base 8 26 base/grass4
tile base 7 26 base/grass6
tile base 6 26 base/grass3
tile base 5 26 base/grass4
tile base 4 26 base/grass5
tile base 3 26 base/grass2
tile base 2 26 base/grass0
tile base 1 26 base/grass1
tile base 0 26 base/grass4
