name "Healing Potion"
description "Creates a healing potion.  The amount of damage healed by the potion depends on your Alchemy skill."
skill "Alchemy"
skillRequirement 5
result "potionHealing"
resultQuantity 1
resultHasQuality "true
resultIsIngredient false
ingredient "empty_bottle" 1
ingredient "herb_medicinal" 2
ingredient "water_jug" 1
qualityModifier 5 ""
qualityModifier 25 ""
qualityModifier 45 ""
qualityModifier 65 ""
qualityModifier 85 ""
qualityModifier 105 ""
qualityModifier 125 ""
qualityModifier 145 ""
