name "Heavy Plate Armor"
description "Creates heavy plate armor. The quality is dependant on your Craft Armor skill."
skill "CraftArmor"
skillRequirement 65
result "armor_plateheavy_base"
resultQuantity 1
resultHasQuality "true
resultIsIngredient false
ingredient "leather" 2
ingredient "thread" 10
ingredient "coal" 16
ingredient "bar_iron" 20
qualityModifier 55 ""
qualityModifier 75 ""
qualityModifier 95 ""
qualityModifier 115 ""
qualityModifier 135 ""
qualityModifier 155 ""
qualityModifier 170 ""
qualityModifier 180 ""
