name "Enhance Attack"
description "Enchants a weapon with a bonus to attack.  The amount of the bonus is dependant on your Enchanting skill."
skill "Enchanting"
skillRequirement 5
resultQuantity 1
resultHasQuality "true
anyItemOfTypeIngredient "WEAPON"
resultIsIngredient true
ingredient "gem01" 1
ingredient "claw" 2
ingredient "bar_silver" 1
qualityModifier 5 "entity.addBonus('WeaponAttack',  2);"
qualityModifier 20 "entity.addBonus('WeaponAttack',  4);"
qualityModifier 40 "entity.addBonus('WeaponAttack',  6);"
qualityModifier 60 "entity.addBonus('WeaponAttack',  8);"
qualityModifier 80 "entity.addBonus('WeaponAttack', 10);"
qualityModifier 100 "entity.addBonus('WeaponAttack', 12);"
qualityModifier 120 "entity.addBonus('WeaponAttack', 14);"
qualityModifier 140 "entity.addBonus('WeaponAttack', 16);"
