name "Spike Trap"
description "Creates a spike trap.  The quality of the trap is dependant on your Traps skill."
skill "Traps"
skillRequirement 10
result "spikeTrap"
resultQuantity 1
resultHasQuality "true
resultIsIngredient false
ingredient "spike" 10
ingredient "wire" 2
ingredient "pressure_plate" 1
qualityModifier 5 ""
qualityModifier 25 ""
qualityModifier 45 ""
qualityModifier 65 ""
qualityModifier 85 ""
qualityModifier 105 ""
qualityModifier 125 ""
qualityModifier 145 ""
