size 20 10
tileset cave
visibilityRadius 5
unexplored

encounter "tutorialOrc2" 16 8

item 1 "tutorialTrap" 16 4

tile 0 16 8 layer0/path
tile 0 15 8 layer0/path
tile 0 14 8 layer0/hills-variation
tile 0 3 8 layer0/path
tile 0 17 7 layer0/path
tile 0 16 7 layer0/path9
tile 0 15 7 layer0/path
tile 0 14 7 layer0/path
tile 0 13 7 layer0/hills-variation2
tile 0 5 7 layer0/path
tile 0 3 7 layer0/path
tile 0 16 6 layer0/floor
tile 0 15 6 layer0/floor
tile 0 14 6 layer0/path5
tile 0 13 6 layer0/path1
tile 0 8 6 layer0/floor
tile 0 6 6 layer0/path
tile 0 5 6 layer0/path1
tile 0 4 6 layer0/path
tile 0 3 6 layer0/path
tile 0 16 5 layer0/floor6
tile 0 10 5 layer0/floor
tile 0 9 5 layer0/floor3
tile 0 7 5 layer0/path
tile 0 6 5 layer0/path4
tile 0 5 5 layer0/path4
tile 0 4 5 layer0/path
tile 0 3 5 layer0/path7
tile 0 16 4 layer0/floor
tile 0 12 4 layer0/floor
tile 0 11 4 layer0/floor3
tile 0 9 4 layer0/floor
tile 0 8 4 layer0/floor3
tile 0 6 4 layer0/path
tile 0 5 4 layer0/path
tile 0 4 4 layer0/path
tile 0 3 4 layer0/path
tile 0 16 3 layer0/chasm
tile 0 15 3 layer0/floor5
tile 0 14 3 layer0/floor
tile 0 13 3 layer0/floor
tile 0 7 3 layer0/path
tile 0 6 3 layer0/path8
tile 0 5 3 layer0/path8
tile 0 4 3 layer0/path
tile 0 17 2 layer0/chasm
tile 0 16 2 layer0/chasm
tile 0 15 2 layer0/chasm
tile 0 14 2 layer0/chasm
tile 0 13 2 layer0/chasm
tile 0 12 2 layer0/chasm
tile 0 10 2 layer0/lava2
tile 0 8 2 layer0/lava3
tile 0 7 2 layer0/path
tile 0 6 2 layer0/hills-variation
tile 0 5 2 layer0/hills-variation3
tile 0 15 1 layer0/chasm
tile 0 14 1 layer0/chasm
tile 0 13 1 layer0/chasm
tile 0 9 1 layer0/lava3
tile 0 8 1 layer0/lava2
tile 0 7 1 layer0/lava4
tile 0 5 1 layer0/lava3
tile 0 15 0 layer0/chasm
tile 0 14 0 layer0/chasm
tile 0 13 0 layer0/chasm
tile 0 10 0 layer0/lava3
tile 0 9 0 layer0/lava4
tile 0 8 0 layer0/lava4
tile 0 7 0 layer0/lava4
tile 0 6 0 layer0/lava4
tile 1 15 8 layer1/hills-nw
tile 1 16 7 layer1/floor-n
tile 1 16 7 layer1/floor-nw-n
tile 1 15 7 layer1/hills-sw
tile 1 15 7 layer1/floor-n
tile 1 14 7 layer1/hills-sw
tile 1 14 7 layer1/hills-s
tile 1 14 7 layer1/floor-ne
tile 1 14 6 layer1/floor-se
tile 1 13 6 layer1/hills-s
tile 1 6 3 layer1/hills-nw
tile 1 6 3 layer1/hills-n
tile 1 5 3 layer1/hills-n
tile 1 4 3 layer1/hills-ne
tile 1 7 2 layer1/hills-nw
tile 2 16 3 layer2/chasm-concave-tl
tile 2 16 3 layer2/chasm-convex-bl
tile 2 16 3 layer2/chasm-convex-br
tile 2 17 2 layer2/chasm-convex-br
tile 2 17 2 layer2/chasm-convex-r
tile 2 17 2 layer2/chasm-convex-tr
tile 2 17 2 layer2/chasm-concave-bl
tile 2 16 2 layer2/chasm-convex-tr
tile 2 16 2 layer2/chasm-concave-bl
tile 2 15 2 layer2/chasm-concave-tr
tile 2 15 2 layer2/chasm-convex-bl
tile 2 14 2 layer2/chasm-concave-tr
tile 2 13 2 layer2/chasm-concave-tl
tile 2 13 2 layer2/chasm-convex-bl
tile 2 13 2 layer2/chasm-convex-br
tile 2 12 2 layer2/chasm-concave-br
tile 2 12 2 layer2/chasm-convex-bl
tile 2 12 2 layer2/chasm-convex-l
tile 2 12 2 layer2/chasm-convex-tl
tile 2 12 2 layer2/chasm-concave-tr
tile 2 10 2 layer2/lava-convex-bl
tile 2 10 2 layer2/lava-convex-br
tile 2 10 2 layer2/lava-convex-r
tile 2 10 2 layer2/lava-convex-tr
tile 2 10 2 layer2/lava-concave-bl
tile 2 8 2 layer2/lava-concave-tl
tile 2 8 2 layer2/lava-convex-bl
tile 2 8 2 layer2/lava-convex-br
tile 2 15 1 layer2/chasm-concave-l
tile 2 13 1 layer2/chasm-concave-r
tile 2 9 1 layer2/lava-concave-tr
tile 2 9 1 layer2/lava-concave-l
tile 2 7 1 layer2/lava-concave-r
tile 2 7 1 layer2/lava-convex-bl
tile 2 7 1 layer2/lava-convex-l
tile 2 7 1 layer2/lava-concave-tr
tile 2 5 1 layer2/lava-convex-bl
tile 2 5 1 layer2/lava-convex-br
tile 2 5 1 layer2/lava-convex-l
tile 2 5 1 layer2/lava-convex-r
tile 2 5 1 layer2/lava-convex-tl
tile 2 5 1 layer2/lava-convex-tr
tile 2 15 0 layer2/chasm-convex-r
tile 2 13 0 layer2/chasm-convex-l
tile 2 10 0 layer2/lava-convex-br
tile 2 9 0 layer2/lava-concave-tl
tile 2 6 0 layer2/lava-convex-bl
tile 2 6 0 layer2/lava-concave-tr
tile 3 18 9 layer3/wall-rough2
tile 3 16 9 layer3/wall-rough3
tile 3 15 9 layer3/wall-rough3
tile 3 14 9 layer3/wall-rough3
tile 3 12 9 layer3/wall-rough3
tile 3 10 9 layer3/wall-rough3
tile 3 8 9 layer3/wall-rough
tile 3 6 9 layer3/wall-rough
tile 3 4 9 layer3/wall-rough3
tile 3 2 9 layer3/wall-rough
tile 3 18 8 layer3/wall-rough
tile 3 17 8 layer3/wall-rough2
tile 3 13 8 layer3/wall-rough2
tile 3 12 8 layer3/wall-rough
tile 3 11 8 layer3/wall-rough2
tile 3 10 8 layer3/wall-rough2
tile 3 9 8 layer3/wall-rough2
tile 3 8 8 layer3/wall-rough3
tile 3 7 8 layer3/wall-rough
tile 3 6 8 layer3/wall-rough3
tile 3 5 8 layer3/wall-rough3
tile 3 4 8 layer3/wall-rough3
tile 3 2 8 layer3/wall-rough
tile 3 1 8 layer3/wall-rough2
tile 3 18 7 layer3/wall-rough2
tile 3 12 7 layer3/wall-rough2
