name "Mighty Blow"
type "Offensive"
description "You attempt to deliver a single powerful blow with a melee weapon to an opponent.  The attack takes the normal amount of Action Points for an attack with your current weapon.  You gain a +20 attack bonus, and if you connect, a +80 damage bonus."
activateable true
fixed true
mode false
cancelable false
cooldown 4

icon "icons/mightyBlow"

scriptfile "abilities/mightyBlow"

actionPointCostDescription "Same as an attack"

actionType Damage
groupType Single
rangeType Touch
aiPower 10
aiPriority 5
