name "Crush"
type "Evocation"
description "Bits of Earth and stone fly at a target up to 20 feet away from the caster, doing 7 to 14 blunt damage plus one per caster level."
activateable true
fixed true
cooldown 8

icon "icons/crush"
scriptfile "spells/crush"

spell true

spellLevel 1
verbalComponent true
somaticComponent true
spellResistance true

actionPointCost 6000

actionType Damage
groupType Single
rangeType Short
aiPower 10

upgrade "MassCrush" "With Mass Crush, your Crush spell now affects all hostile targets within 15 feet of the caster."
