name "Freeze"
type "Evocation"
description "A single target up to 25 feet away is attacked with freezing ice.  The target takes 1 to 10 plus 1 per caster level of Cold damage.  In addition, the target must succeed at a Physical Resistance check or suffer an action point penalty of 15 + caster level for 3 rounds."
activateable true
fixed true
cooldown 8

icon "icons/freeze"
scriptfile "spells/freeze"

spell true
spellLevel 1
verbalComponent true
somaticComponent true
spellResistance true

actionPointCost 6000

actionType Debuff
groupType Single
rangeType Long
aiPower 10
aiPriority 2

addPrereq Stat CasterLevel 1

upgrade "GlacialWave" "With Glacial Wave, Freeze now affects all creatures within 25 feet of the caster.  Targets must succeed at a physical resistance check or be frozen solid (paralyzed) for 2 to 4 rounds.  Even if the check is succesful, each creature suffers an Action Point penalty of 15 plus the caster level as well as taking 6 to 12 plus one per caster level cold damage."
