name "Potion of Damage Reduction"
description "Creates a reduction against physical damage potion.  The amount of damage reduction is dependant upon your alchemy skill."
skill "Alchemy"
skillRequirement 45
result "potionDamageReduction"
resultQuantity 1
resultHasQuality "true
resultIsIngredient false
ingredient "empty_bottle" 1
ingredient "water_jug" 1
ingredient "crystal_blue" 2
qualityModifier 25 ""
qualityModifier 45 ""
qualityModifier 65 ""
qualityModifier 85 ""
qualityModifier 105 ""
qualityModifier 125 ""
qualityModifier 140 ""
qualityModifier 160 ""
