name "Acid Damage"
description "Adds acid damage to a weapon.  The amount of damage depends on your enchanting skill."
skill "Enchanting"
skillRequirement 35
resultQuantity 1
resultHasQuality "true
anyItemOfTypeIngredient "WEAPON"
resultIsIngredient true
ingredient "gem06" 1
ingredient "gem02" 3
ingredient "bar_gold" 1
qualityModifier 20 "entity.addStandaloneDamageBonus('Acid', 1, 3);"
qualityModifier 40 "entity.addStandaloneDamageBonus('Acid', 1, 4);"
qualityModifier 60 "entity.addStandaloneDamageBonus('Acid', 1, 5);"
qualityModifier 80 "entity.addStandaloneDamageBonus('Acid', 2, 6);"
qualityModifier 100 "entity.addStandaloneDamageBonus('Acid', 2, 7);"
qualityModifier 120 "entity.addStandaloneDamageBonus('Acid', 2, 8);"
qualityModifier 140 "entity.addStandaloneDamageBonus('Acid', 3, 9);"
qualityModifier 160 "entity.addStandaloneDamageBonus('Acid', 3, 10);"
