playerSelectable true
baseRole false

icon "icons/healer"

damageBonusPerLevel 2
attackBonusPerLevel 2

skillPointsPerLevel 5

maxLevel 10

HPPerLevel 3

addPrereq Stat CreatureLevel 100
addPrereq Role Priest 8
addPrereq Ability Cure
addPrereq Ability Regeneration

level  1 addCasterLevel
level  2 addCasterLevel
level  3 addCasterLevel
level  4 addCasterLevel
level  5 addCasterLevel
level  6 addCasterLevel
level  7 addCasterLevel
level  8 addCasterLevel
level  9 addCasterLevel
level 10 addCasterLevel
