size 40 50
tileset outdoor
visibilityRadius 8
unexplored


encounter "goblinCity_north" 9 6
encounter "goblinCity_centerWest" 6 19
encounter "goblinCity_centerEast" 23 20
encounter "goblinCity_merchants" 10 27
encounter "goblinCity_center" 22 31
encounter "goblinCity_southWest" 9 41
encounter "goblinCity_southEast" 26 43
encounter "goblinCity_chieftan" 31 34

item 1 "goblinCityPitGrimbakExit" 34 12
item 1 "goblinCityPitExit" 21 13
item 1 "workbench" 13 26
item 1 "goblinCityPitEntrance" 32 7

tile base 39 49 base/stone4
tile base 38 49 base/stone4
tile base 37 49 base/stone4
tile base 36 49 base/stone1
tile base 35 49 base/stone4
tile base 34 49 base/stone4
tile base 33 49 base/stone3
tile base 32 49 base/stone3
tile base 31 49 base/stone3
tile base 30 49 base/stone2
tile base 29 49 base/stone1
tile base 28 49 base/stone4
tile base 27 49 base/stone3
tile base 26 49 base/stone3
tile base 25 49 base/stone4
tile base 24 49 base/stone4
tile base 23 49 base/stone3
tile base 22 49 base/stone4
tile base 21 49 base/stone3
tile base 20 49 base/stone1
tile base 19 49 base/stone0
tile base 18 49 base/stone0
tile base 17 49 base/stone4
tile base 16 49 base/stone0
tile base 15 49 base/stone0
tile base 14 49 base/stone4
tile base 13 49 base/stone4
tile base 12 49 base/stone4
tile base 11 49 base/stone4
tile base 10 49 base/stone4
tile base 9 49 base/stone1
tile base 8 49 base/stone4
tile base 7 49 base/stone0
tile base 6 49 base/stone4
tile base 5 49 base/stone4
tile base 4 49 base/stone4
tile base 3 49 base/stone4
tile base 2 49 base/stone3
tile base 1 49 base/stone3
tile base 0 49 base/stone0
tile base 39 48 base/stone3
tile base 38 48 base/stone4
tile base 37 48 base/stone4
tile base 36 48 base/stone0
tile base 35 48 base/stone3
tile base 34 48 base/stone2
tile base 33 48 base/stone1
tile base 32 48 base/stone4
tile base 31 48 base/stone2
tile base 30 48 base/stone3
tile base 29 48 base/stone3
tile base 28 48 base/stone1
tile base 27 48 base/stone1
tile base 26 48 base/stone1
tile base 25 48 base/stone4
tile base 24 48 base/stone3
tile base 23 48 base/stone1
tile base 22 48 base/stone4
tile base 21 48 base/stone1
tile base 20 48 base/stone1
tile base 19 48 base/stone1
tile base 18 48 base/stone0
tile base 17 48 base/stone2
tile base 16 48 base/stone4
tile base 15 48 base/stone0
tile base 14 48 base/stone4
tile base 13 48 base/stone3
tile base 12 48 base/stone0
tile base 11 48 base/stone0
tile base 10 48 base/stone4
tile base 9 48 base/stone4
tile base 8 48 base/stone4
tile base 7 48 base/stone3
tile base 6 48 base/stone0
tile base 5 48 base/stone2
tile base 4 48 base/stone3
tile base 3 48 base/stone4
tile base 2 48 base/stone2
tile base 1 48 base/stone1
tile base 0 48 base/stone0
tile base 39 47 base/stone4
tile base 38 47 base/stone4
tile base 37 47 base/stone0
tile base 36 47 base/stone2
tile base 35 47 base/stone1
tile base 34 47 base/stone4
tile base 33 47 base/stone4
tile base 32 47 base/stone0
tile base 31 47 base/stone3
tile base 30 47 base/stone1
tile base 29 47 base/stone3
tile base 28 47 base/stone2
tile base 27 47 base/stone4
tile base 26 47 base/stone0
tile base 25 47 base/stone4
tile base 24 47 base/stone0
tile base 23 47 base/stone4
tile base 22 47 base/stone0
tile base 21 47 base/stone4
tile base 20 47 base/stone1
tile base 19 47 base/stone1
tile base 18 47 base/stone4
tile base 17 47 base/stone4
tile base 16 47 base/stone1
tile base 15 47 base/stone3
tile base 14 47 base/stone1
tile base 13 47 base/stone0
tile base 12 47 base/stone3
tile base 11 47 base/stone4
tile base 10 47 base/stone4
tile base 9 47 base/stone1
tile base 8 47 base/stone4
tile base 7 47 base/stone2
tile base 6 47 base/stone1
tile base 5 47 base/stone3
tile base 4 47 base/stone2
tile base 3 47 base/stone3
tile base 2 47 base/stone1
tile base 1 47 base/stone2
tile base 0 47 base/stone1
tile base 39 46 base/stone4
tile base 38 46 base/stone0
tile base 37 46 base/stone1
tile base 36 46 base/stone2
tile base 35 46 base/stone1
tile base 34 46 base/stone4
tile base 33 46 base/stone0
tile base 32 46 base/stone0
tile base 31 46 base/stone3
tile base 30 46 base/stone2
tile base 29 46 base/stone4
tile base 28 46 base/stone4
tile base 27 46 base/stone3
tile base 26 46 base/stone4
tile base 25 46 base/stone4
tile base 24 46 base/stone4
tile base 23 46 base/stone2
tile base 22 46 base/stone4
tile base 21 46 base/stone3
tile base 20 46 base/stone2
tile base 19 46 base/stone0
tile base 18 46 base/stone2
tile base 17 46 base/stone4
tile base 16 46 base/stone2
tile base 15 46 base/stone4
tile base 14 46 base/stone1
tile base 13 46 base/stone2
tile base 12 46 base/stone2
tile base 11 46 base/stone0
tile base 10 46 base/stone1
tile base 9 46 base/stone4
tile base 8 46 base/stone4
tile base 7 46 base/stone1
tile base 6 46 base/stone3
tile base 5 46 base/stone4
tile base 4 46 base/stone3
tile base 3 46 base/stone1
tile base 2 46 base/stone1
tile base 1 46 base/stone0
tile base 0 46 base/stone4
tile base 39 45 base/stone4
tile base 38 45 base/stone1
tile base 37 45 base/stone4
tile base 36 45 base/stone3
tile base 35 45 base/stone4
tile base 34 45 base/stone2
tile base 33 45 base/stone0
tile base 32 45 base/stone4
tile base 31 45 base/stone3
tile base 30 45 base/stone3
tile base 29 45 base/stone3
tile base 28 45 base/stone0
tile base 27 45 base/stone1
tile base 26 45 base/stone1
tile base 25 45 base/stone2
tile base 24 45 base/stone2
tile base 23 45 base/stone4
tile base 22 45 base/stone2
tile base 21 45 base/stone1
tile base 20 45 base/stone4
tile base 19 45 base/stone4
tile base 18 45 base/stone0
tile base 17 45 base/stone4
tile base 16 45 base/stone1
tile base 15 45 base/stone2
tile base 14 45 base/stone2
tile base 13 45 base/stone0
tile base 12 45 base/stone2
tile base 11 45 base/stone2
tile base 10 45 base/stone1
tile base 9 45 base/stone3
tile base 8 45 base/stone4
tile base 7 45 base/stone2
tile base 6 45 base/stone0
tile base 5 45 base/stone4
tile base 4 45 base/stone0
tile base 3 45 base/stone3
tile base 2 45 base/stone0
tile base 1 45 base/stone4
tile base 0 45 base/stone1
tile base 39 44 base/stone0
tile base 38 44 base/stone4
tile base 37 44 base/stone1
tile base 36 44 base/stone0
tile base 35 44 base/stone2
tile base 34 44 base/stone4
tile base 33 44 base/stone1
tile base 32 44 base/stone4
tile base 31 44 base/stone4
tile base 30 44 base/stone4
tile base 29 44 base/stone4
tile base 28 44 base/stone1
tile base 27 44 base/stone0
tile base 26 44 base/stone4
tile base 25 44 base/stone1
tile base 24 44 base/stone4
tile base 23 44 base/stone4
tile base 22 44 base/stone3
tile base 21 44 base/stone1
tile base 20 44 base/stone1
tile base 19 44 base/stone0
tile base 18 44 base/stone2
tile base 17 44 base/stone0
tile base 16 44 base/stone1
tile base 15 44 base/stone1
tile base 14 44 base/stone1
tile base 13 44 base/stone4
tile base 12 44 base/stone3
tile base 11 44 base/stone2
tile base 10 44 base/stone4
tile base 9 44 base/stone1
tile base 8 44 base/stone1
tile base 7 44 base/stone4
tile base 6 44 base/stone2
tile base 5 44 base/stone4
tile base 4 44 base/stone4
tile base 3 44 base/stone4
tile base 2 44 base/stone1
tile base 1 44 base/stone2
tile base 0 44 base/stone0
tile base 39 43 base/stone0
tile base 38 43 base/stone4
tile base 37 43 base/stone3
tile base 36 43 base/stone2
tile base 35 43 base/stone0
tile base 34 43 base/stone4
tile base 33 43 base/stone4
tile base 32 43 base/stone2
tile base 31 43 base/stone0
tile base 30 43 base/stone3
tile base 29 43 base/stone1
tile base 28 43 base/stone3
tile base 27 43 base/stone4
tile base 26 43 base/stone1
tile base 25 43 base/stone2
tile base 24 43 base/stone0
tile base 23 43 base/stone0
tile base 22 43 base/stone2
tile base 21 43 base/stone1
tile base 20 43 base/stone0
tile base 19 43 base/stone3
tile base 18 43 base/stone2
tile base 17 43 base/stone2
tile base 16 43 base/stone3
tile base 15 43 base/stone4
tile base 14 43 base/stone0
tile base 13 43 base/stone4
tile base 12 43 base/stone4
tile base 11 43 base/stone0
tile base 10 43 base/stone3
tile base 9 43 base/stone4
tile base 8 43 base/stone1
tile base 7 43 base/stone4
tile base 6 43 base/stone4
tile base 5 43 base/stone4
tile base 4 43 base/stone0
tile base 3 43 base/stone1
tile base 2 43 base/stone1
tile base 1 43 base/stone0
tile base 0 43 base/stone2
tile base 39 42 base/stone4
tile base 38 42 base/stone2
tile base 37 42 base/stone4
tile base 36 42 base/stone2
tile base 35 42 base/stone4
tile base 34 42 base/stone0
tile base 33 42 base/stone1
tile base 32 42 base/stone4
tile base 31 42 base/stone4
tile base 30 42 base/stone4
tile base 29 42 base/stone4
tile base 28 42 base/stone0
tile base 27 42 base/stone4
tile base 26 42 base/stone0
tile base 25 42 base/stone2
tile base 24 42 base/stone3
tile base 23 42 base/stone2
tile base 22 42 base/stone3
tile base 21 42 base/stone0
tile base 20 42 base/stone0
tile base 19 42 base/stone4
tile base 18 42 base/stone1
tile base 17 42 base/stone2
tile base 16 42 base/stone1
tile base 15 42 base/stone4
tile base 14 42 base/stone4
tile base 13 42 base/stone4
tile base 12 42 base/stone2
tile base 11 42 base/stone4
tile base 10 42 base/stone1
tile base 9 42 base/stone4
tile base 8 42 base/stone1
tile base 7 42 base/stone1
tile base 6 42 base/stone1
tile base 5 42 base/stone0
tile base 4 42 base/stone1
tile base 3 42 base/stone2
tile base 2 42 base/stone2
tile base 1 42 base/stone4
tile base 0 42 base/stone0
tile base 39 41 base/stone0
tile base 38 41 base/stone1
tile base 37 41 base/stone0
tile base 36 41 base/stone0
tile base 35 41 base/stone0
tile base 34 41 base/stone3
tile base 33 41 base/stone1
