size 40 35
tileset outdoor
visibilityRadius 7
unexplored


encounter "cavebats_lvl08" 7 4
encounter "boss" 34 26
encounter "drakes_lvl14" 28 9

item 1 "chest_level05" 4 4
item 1 "chest_lock_lvl15" 4 3
item 1 "theGate" 36 25

tile base 36 34 base/stone2
tile base 35 34 base/stone3
tile base 34 34 base/stone2
tile base 33 34 base/stone1
tile base 32 34 base/stone3
tile base 31 34 base/stone2
tile base 30 34 base/stone3
tile base 29 34 base/stone4
tile base 28 34 base/stone3
tile base 27 34 base/stone2
tile base 26 34 base/stone0
tile base 25 34 base/stone1
tile base 24 34 base/stone4
tile base 23 34 base/stone2
tile base 22 34 base/stone4
tile base 21 34 base/stone2
tile base 20 34 base/stone4
tile base 19 34 base/stone3
tile base 18 34 base/stone4
tile base 17 34 base/stone4
tile base 16 34 base/stone1
tile base 15 34 base/stone4
tile base 14 34 base/stone1
tile base 13 34 base/stone4
tile base 12 34 base/stone1
tile base 11 34 base/stone2
tile base 10 34 base/stone2
tile base 9 34 base/stone2
tile base 8 34 base/stone4
tile base 7 34 base/stone2
tile base 6 34 base/stone4
tile base 5 34 base/stone1
tile base 4 34 base/stone1
tile base 3 34 base/stone2
tile base 2 34 base/stone4
tile base 1 34 base/stone0
tile base 0 34 base/stone1
tile base 36 33 base/stone0
tile base 35 33 base/stone1
tile base 34 33 base/stone1
tile base 33 33 base/stone0
tile base 32 33 base/stone4
tile base 31 33 base/stone2
tile base 30 33 base/stone0
tile base 29 33 base/stone2
tile base 28 33 base/stone1
tile base 27 33 base/stone4
tile base 26 33 base/stone2
tile base 25 33 base/stone3
tile base 24 33 base/stone3
tile base 23 33 base/stone1
tile base 22 33 base/stone1
tile base 21 33 base/stone1
tile base 20 33 base/stone3
tile base 19 33 base/stone2
tile base 18 33 base/stone3
tile base 17 33 base/stone0
tile base 16 33 base/stone2
tile base 15 33 base/stone1
tile base 14 33 base/stone2
tile base 13 33 base/stone4
tile base 12 33 base/stone1
tile base 11 33 base/stone3
tile base 10 33 base/stone3
tile base 9 33 base/stone2
tile base 8 33 base/stone4
tile base 7 33 base/stone4
tile base 6 33 base/stone0
tile base 5 33 base/stone3
tile base 4 33 base/stone4
tile base 3 33 base/stone1
tile base 2 33 base/stone0
tile base 1 33 base/stone4
tile base 0 33 base/stone4
tile base 37 32 base/stone2
tile base 36 32 base/stone4
tile base 35 32 base/stone4
tile base 34 32 base/stone1
tile base 33 32 base/stone3
tile base 32 32 base/stone2
tile base 31 32 base/stone3
tile base 30 32 base/stone0
tile base 29 32 base/stone0
tile base 28 32 base/stone1
tile base 27 32 base/stone4
tile base 26 32 base/stone4
tile base 25 32 base/stone4
tile base 24 32 base/stone3
tile base 23 32 base/stone0
tile base 22 32 base/stone0
tile base 21 32 base/stone2
tile base 20 32 base/stone1
tile base 19 32 base/stone4
tile base 18 32 base/stone3
tile base 17 32 base/stone4
tile base 16 32 base/stone0
tile base 15 32 base/stone4
tile base 14 32 base/stone3
tile base 13 32 base/stone2
tile base 12 32 base/stone0
tile base 11 32 base/stone0
tile base 10 32 base/stone3
tile base 9 32 base/stone0
tile base 8 32 base/stone1
tile base 7 32 base/stone1
tile base 6 32 base/stone4
tile base 5 32 base/stone3
tile base 4 32 base/stone4
tile base 3 32 base/stone3
tile base 2 32 base/stone1
tile base 1 32 base/stone3
tile base 0 32 base/stone1
tile base 37 31 base/path1
tile base 36 31 base/path0
tile base 35 31 base/path3
tile base 34 31 base/path0
tile base 33 31 base/stone0
tile base 32 31 base/stone4
tile base 31 31 base/stone4
tile base 30 31 base/stone4
tile base 29 31 base/stone3
tile base 28 31 base/stone0
tile base 27 31 base/stone3
tile base 26 31 base/stone4
tile base 25 31 base/stone2
tile base 24 31 base/stone4
tile base 23 31 base/stone4
tile base 22 31 base/stone2
tile base 21 31 base/stone3
tile base 20 31 base/stone1
tile base 19 31 base/stone4
tile base 18 31 base/stone0
tile base 17 31 base/stone1
tile base 16 31 base/stone4
tile base 15 31 base/stone2
tile base 14 31 base/stone0
tile base 13 31 base/stone4
tile base 12 31 base/stone4
tile base 11 31 base/stone4
tile base 10 31 base/stone4
tile base 9 31 base/stone3
tile base 8 31 base/stone3
tile base 7 31 base/stone1
tile base 6 31 base/stone3
tile base 5 31 base/stone4
tile base 4 31 base/stone1
tile base 3 31 base/stone4
tile base 2 31 base/stone0
tile base 1 31 base/stone0
tile base 0 31 base/stone2
tile base 37 30 base/path1
tile base 36 30 base/path3
tile base 35 30 base/path2
tile base 34 30 base/path0
tile base 33 30 base/path2
tile base 32 30 base/path1
tile base 31 30 base/stone4
tile base 30 30 base/stone0
tile base 29 30 base/stone3
tile base 28 30 base/stone0
tile base 27 30 base/stone4
tile base 26 30 base/stone3
tile base 25 30 base/stone1
tile base 24 30 base/stone2
tile base 23 30 base/stone4
tile base 22 30 base/stone4
tile base 21 30 base/stone4
tile base 20 30 base/stone4
tile base 19 30 base/stone2
tile base 18 30 base/stone2
tile base 17 30 base/stone0
tile base 16 30 base/stone4
tile base 15 30 base/stone2
tile base 14 30 base/stone1
tile base 13 30 base/stone3
tile base 12 30 base/stone2
tile base 11 30 base/stone4
tile base 10 30 base/stone4
tile base 9 30 base/stone1
tile base 8 30 base/stone3
tile base 7 30 base/stone3
tile base 6 30 base/stone0
tile base 5 30 base/stone4
tile base 4 30 base/stone3
tile base 3 30 base/stone4
tile base 2 30 base/stone3
tile base 1 30 base/stone2
tile base 0 30 base/stone4
tile base 37 29 base/path2
tile base 36 29 base/path3
tile base 35 29 base/path3
tile base 34 29 base/path2
tile base 33 29 base/path1
tile base 32 29 base/path2
tile base 31 29 base/path1
tile base 30 29 base/path2
tile base 29 29 base/stone2
tile base 28 29 base/stone1
tile base 27 29 base/stone4
tile base 26 29 base/stone3
tile base 25 29 base/stone4
tile base 24 29 base/stone4
tile base 23 29 base/stone3
tile base 22 29 base/stone1
tile base 21 29 base/stone1
tile base 20 29 base/stone2
