playerCharacter false

name "Occulus"
icon "creatures/tentacle-beast" "#ffffffff"
gender "Male"
race "Human"
unspentSkillPoints 0
xp 37300
role "Mage" 15
attributes 8 23 19 16 10 5
script "ai/aiStandard"
addSkillRanks "Search" 75
level 1 addAbility "Crush"
level 1 addAbility "LightningBolt"
level 1 addAbility "Shock"
level 1 addAbility "FlamingFingers"
level 1 addAbility "MassCrush"
level 1 addAbility "Firebolt"
level 1 addAbility "Freeze"
level 1 addAbility "Fireball"
level 1 addAbility "Tremor"
level 1 addAbility "Enfeeble"
level 1 addAbility "Curse"
level 1 addAbility "MassCurse"
level 1 addAbility "ElectricalImmunity50"
level 1 addAbility "NaturalArmor30"
level 1 addAbility "ColdImmunity50"
level 1 addAbility "ImmobilizationImmunity"
level 1 addAbility "DamageReduction15"
level 1 addAbility "FireImmunity50"

currencyReward 100 200
addloot "LootLevel10Fine" 100 PER_LIST
addloot "LootLevel5" 50 PER_LIST
