name "Acid trap"
description "Creates an acid trap.  The quality of the trap is dependant on your Traps skill."
skill "Traps"
skillRequirement 40
result "acidTrap"
resultQuantity 1
resultHasQuality "true
resultIsIngredient false
ingredient "wire" 2
ingredient "pressure_plate" 1
ingredient "water_jug" 1
ingredient "claw" 2
ingredient "spike" 5
qualityModifier 25 ""
qualityModifier 50 ""
qualityModifier 70 ""
qualityModifier 90 ""
qualityModifier 110 ""
qualityModifier 130 ""
qualityModifier 150 ""
qualityModifier 170 ""
