name "Freeze Trap"
description "Creates a freeze trap.  The quality of the trap is dependant on your Traps skill."
skill "Traps"
skillRequirement 50
result "freezeTrap"
resultQuantity 1
resultHasQuality "true
resultIsIngredient false
ingredient "wire" 2
ingredient "pressure_plate" 1
ingredient "gem05" 2
ingredient "spike" 5
qualityModifier 35 ""
qualityModifier 60 ""
qualityModifier 80 ""
qualityModifier 100 ""
qualityModifier 120 ""
qualityModifier 135 ""
qualityModifier 155 ""
qualityModifier 175 ""
