name "Flail"
description "Creates a flail. The quality is dependant on your Craft Weapons skill."
skill "CraftWeapons"
skillRequirement 30
result "flail"
resultQuantity 1
resultHasQuality "true
resultIsIngredient false
ingredient "bar_iron" 3
ingredient "bar_wood" 1
ingredient "coal" 5
ingredient "wire" 3
qualityModifier 25 ""
qualityModifier 45 ""
qualityModifier 65 ""
qualityModifier 85 ""
qualityModifier 105 ""
qualityModifier 125 ""
qualityModifier 140 ""
qualityModifier 160 ""
