name "Shortbow"
description "Creates a shortbow. The quality is dependant on your Craft Weapons skill."
skill "CraftWeapons"
skillRequirement 30
result "shortbow"
resultQuantity 1
resultHasQuality "true
resultIsIngredient false
ingredient "bar_iron" 1
ingredient "bar_wood" 2
ingredient "coal" 3
ingredient "wire" 2
qualityModifier 25 ""
qualityModifier 45 ""
qualityModifier 65 ""
qualityModifier 85 ""
qualityModifier 105 ""
qualityModifier 125 ""
qualityModifier 140 ""
qualityModifier 160 ""
