size 20 20
tileset interior
visibilityRadius 6
unexplored


encounter "ghostsBossLvl16" 4 16
encounter "ghostsLvl15" 13 11
encounter "ghostsLvl15" 4 7
encounter "ghostsLvl15" 16 3
encounter "ghostsLvl15" 9 2

item 1 "armorstand_superb" 2 18
item 1 "chest_lock_superb" 2 15
item 1 "chest_lock_lvl15" 13 13
item 1 "chest_superb" 16 6
item 1 "chest_weapon_superb" 4 9
item 1 "chest02" 2 17
item 1 "longbow_seeking" 2 17
item 1 "lightningTrap" 10 11

tile floor 10 18 floor/wood0
tile floor 9 18 floor/wood2
tile floor 8 18 floor/wood2
tile floor 6 18 floor/wood1
tile floor 4 18 floor/wood1
tile floor 2 18 floor/wood0
tile floor 12 17 floor/wood0
tile floor 11 17 floor/wood2
tile floor 10 17 floor/wood0
tile floor 9 17 floor/wood1
tile floor 8 17 floor/wood1
tile floor 7 17 floor/wood0
tile floor 6 17 floor/wood1
tile floor 5 17 floor/wood2
tile floor 4 17 floor/wood1
tile floor 3 17 floor/wood1
tile floor 2 17 floor/wood2
tile floor 14 16 floor/wood2
tile floor 13 16 floor/wood1
tile floor 12 16 floor/wood1
tile floor 11 16 floor/wood2
tile floor 10 16 floor/wood2
tile floor 9 16 floor/wood2
tile floor 8 16 floor/wood2
tile floor 7 16 floor/wood1
tile floor 6 16 floor/wood0
tile floor 5 16 floor/wood2
tile floor 4 16 floor/wood1
tile floor 3 16 floor/wood2
tile floor 2 16 floor/wood0
tile floor 16 15 floor/wood2
tile floor 15 15 floor/wood2
tile floor 14 15 floor/wood1
tile floor 13 15 floor/wood0
tile floor 12 15 floor/wood1
tile floor 11 15 floor/wood1
tile floor 10 15 floor/wood2
tile floor 9 15 floor/wood1
tile floor 8 15 floor/wood1
tile floor 7 15 floor/wood1
tile floor 6 15 floor/wood1
tile floor 5 15 floor/wood1
tile floor 4 15 floor/wood2
tile floor 3 15 floor/wood0
tile floor 2 15 floor/wood0
tile floor 18 14 floor/wood2
tile floor 17 14 floor/wood0
tile floor 16 14 floor/wood0
tile floor 15 14 floor/wood2
tile floor 11 14 floor/wood2
tile floor 10 14 floor/wood2
tile floor 9 14 floor/wood1
tile floor 8 14 floor/wood2
tile floor 7 14 floor/wood1
tile floor 6 14 floor/wood0
tile floor 5 14 floor/wood1
tile floor 4 14 floor/wood1
tile floor 3 14 floor/wood0
tile floor 17 13 floor/wood2
tile floor 16 13 floor/wood1
tile floor 14 13 floor/wood1
tile floor 13 13 floor/wood2
tile floor 12 13 floor/wood2
tile floor 9 13 floor/wood1
tile floor 8 13 floor/wood0
tile floor 7 13 floor/wood2
tile floor 6 13 floor/wood0
tile floor 5 13 floor/wood0
tile floor 16 12 floor/wood2
tile floor 15 12 floor/wood2
tile floor 14 12 floor/wood2
tile floor 13 12 floor/wood2
tile floor 12 12 floor/wood2
tile floor 11 12 floor/wood0
tile floor 10 12 floor/wood1
tile floor 7 12 floor/wood0
tile floor 17 11 floor/wood2
tile floor 16 11 floor/wood2
tile floor 15 11 floor/wood1
tile floor 14 11 floor/wood2
tile floor 13 11 floor/wood2
tile floor 12 11 floor/wood0
tile floor 11 11 floor/wood0
tile floor 10 11 floor/wood2
tile floor 9 11 floor/wood2
tile floor 6 11 floor/wood2
tile floor 5 11 floor/wood2
tile floor 15 10 floor/wood1
tile floor 14 10 floor/wood0
