size 40 40
tileset outdoor
visibilityRadius 8
unexplored

addStartLocation 3 12
addStartLocation 2 13
addStartLocation 2 12
addStartLocation 1 12

encounter "theGateSoldier" 36 6
encounter "treeants" 17 21
encounter "treeants" 16 34
encounter "treeants" 30 27
encounter "treeants" 30 11
encounter "treeants" 22 16
encounter "treeantsBoss" 10 6

item 1 "chest_superb" 12 35
item 1 "chest_lock_superb" 13 34
item 1 "chest_superb" 27 7
item 1 "chest_weapon_superb" 7 4
item 1 "chest_lock_superb" 6 6

tile base 39 39 base/grass1
tile base 38 39 base/grass6
tile base 37 39 base/grass6
tile base 36 39 base/grass0
tile base 35 39 base/grass2
tile base 34 39 base/grass3
tile base 33 39 base/grass2
tile base 32 39 base/grass3
tile base 31 39 base/grass6
tile base 30 39 base/grass1
tile base 29 39 base/grass3
tile base 28 39 base/grass2
tile base 27 39 base/water4
tile base 26 39 base/water1
tile base 25 39 base/water1
tile base 24 39 base/grass4
tile base 23 39 base/grass4
tile base 22 39 base/grass2
tile base 21 39 base/grass5
tile base 20 39 base/grass3
tile base 19 39 base/grass1
tile base 18 39 base/grass4
tile base 17 39 base/grass5
tile base 16 39 base/grass2
tile base 15 39 base/grass5
tile base 14 39 base/grass2
tile base 13 39 base/grass6
tile base 12 39 base/grass2
tile base 11 39 base/grass4
tile base 10 39 base/grass1
tile base 9 39 base/grass6
tile base 8 39 base/grass4
tile base 7 39 base/grass1
tile base 6 39 base/dirt4
tile base 5 39 base/dirt6
tile base 4 39 base/dirt4
tile base 3 39 base/dirt0
tile base 2 39 base/dirt5
tile base 1 39 base/dirt3
tile base 0 39 base/dirt0
tile base 39 38 base/grass6
tile base 38 38 base/grass2
tile base 37 38 base/grass3
tile base 36 38 base/grass2
tile base 35 38 base/grass2
tile base 34 38 base/grass6
tile base 33 38 base/grass1
tile base 32 38 base/grass2
tile base 31 38 base/grass2
tile base 30 38 base/grass1
tile base 29 38 base/grass0
tile base 28 38 base/water1
tile base 27 38 base/water2
tile base 26 38 base/water1
tile base 25 38 base/water4
tile base 24 38 base/grass0
tile base 23 38 base/grass1
tile base 22 38 base/grass4
tile base 21 38 base/grass0
tile base 20 38 base/grass5
tile base 19 38 base/grass1
tile base 18 38 base/grass1
tile base 17 38 base/grass4
tile base 16 38 base/grass5
tile base 15 38 base/grass0
tile base 14 38 base/grass4
tile base 13 38 base/grass0
tile base 12 38 base/grass5
tile base 11 38 base/grass5
tile base 10 38 base/grass2
tile base 9 38 base/grass6
tile base 8 38 base/grass2
tile base 7 38 base/dirt1
tile base 6 38 base/dirt6
tile base 5 38 base/dirt4
tile base 4 38 base/dirt1
tile base 3 38 base/dirt4
tile base 2 38 base/dirt6
tile base 1 38 base/dirt5
tile base 0 38 base/dirt2
tile base 39 37 base/grass3
tile base 38 37 base/grass0
tile base 37 37 base/grass6
tile base 36 37 base/grass0
tile base 35 37 base/grass4
tile base 34 37 base/grass2
tile base 33 37 base/grass5
tile base 32 37 base/grass0
tile base 31 37 base/grass4
tile base 30 37 base/grass1
tile base 29 37 base/grass1
tile base 28 37 base/water2
tile base 27 37 base/water3
tile base 26 37 base/water2
tile base 25 37 base/grass5
tile base 24 37 base/grass5
tile base 23 37 base/grass4
tile base 22 37 base/grass2
tile base 21 37 base/grass5
tile base 20 37 base/grass6
tile base 19 37 base/grass5
tile base 18 37 base/grass4
tile base 17 37 base/grass2
tile base 16 37 base/grass5
tile base 15 37 base/grass4
tile base 14 37 base/grass4
tile base 13 37 base/grass4
