size 30 25
tileset outdoor
visibilityRadius 8
unexplored


encounter "treeants" 3 8
encounter "treeants" 16 19
encounter "undeadLvl15" 23 6

item 1 "chest_lock_superb" 25 17
item 1 "chest_superb" 26 18

tile base 29 24 base/dirt6
tile base 28 24 base/dirt3
tile base 27 24 base/dirt3
tile base 26 24 base/dirt3
tile base 25 24 base/dirt3
tile base 24 24 base/dirt3
tile base 23 24 base/dirt4
tile base 22 24 base/dirt6
tile base 21 24 base/dirt3
tile base 20 24 base/dirt2
tile base 19 24 base/dirt0
tile base 18 24 base/dirt1
tile base 17 24 base/dirt6
tile base 16 24 base/dirt1
tile base 15 24 base/grass4
tile base 14 24 base/grass4
tile base 13 24 base/grass0
tile base 12 24 base/grass4
tile base 11 24 base/grass4
tile base 10 24 base/grass3
tile base 9 24 base/grass6
tile base 8 24 base/grass2
tile base 7 24 base/grass4
tile base 6 24 base/grass2
tile base 5 24 base/grass1
tile base 4 24 base/grass6
tile base 3 24 base/grass5
tile base 2 24 base/grass0
tile base 1 24 base/grass4
tile base 0 24 base/grass5
tile base 29 23 base/dirt2
tile base 28 23 base/dirt5
tile base 27 23 base/dirt0
tile base 26 23 base/dirt5
tile base 25 23 base/dirt3
tile base 24 23 base/dirt4
tile base 23 23 base/dirt5
tile base 22 23 base/dirt1
tile base 21 23 base/dirt2
tile base 20 23 base/dirt1
tile base 19 23 base/dirt1
tile base 18 23 base/dirt4
tile base 17 23 base/dirt0
tile base 16 23 base/dirt1
tile base 15 23 base/dirt2
tile base 14 23 base/grass1
tile base 13 23 base/grass0
tile base 12 23 base/grass2
tile base 11 23 base/grass2
tile base 10 23 base/grass6
tile base 9 23 base/grass3
tile base 8 23 base/grass6
tile base 7 23 base/grass1
tile base 6 23 base/grass4
tile base 5 23 base/grass0
tile base 4 23 base/grass1
tile base 3 23 base/grass2
tile base 2 23 base/grass5
tile base 1 23 base/grass5
tile base 0 23 base/grass0
tile base 29 22 base/dirt2
tile base 28 22 base/dirt2
tile base 27 22 base/dirt6
tile base 26 22 base/dirt0
tile base 25 22 base/dirt0
tile base 24 22 base/dirt1
tile base 23 22 base/dirt3
tile base 22 22 base/dirt5
tile base 21 22 base/dirt5
tile base 20 22 base/dirt5
tile base 19 22 base/dirt6
tile base 18 22 base/dirt2
tile base 17 22 base/dirt3
tile base 16 22 base/dirt4
tile base 15 22 base/dirt0
tile base 14 22 base/grass3
tile base 13 22 base/grass0
tile base 12 22 base/grass2
tile base 11 22 base/grass5
tile base 10 22 base/grass1
tile base 9 22 base/grass2
tile base 8 22 base/grass4
tile base 7 22 base/grass1
tile base 6 22 base/grass5
tile base 5 22 base/grass4
tile base 4 22 base/grass4
tile base 3 22 base/grass1
tile base 2 22 base/grass2
tile base 1 22 base/grass4
tile base 0 22 base/grass5
tile base 29 21 base/dirt3
tile base 28 21 base/dirt2
tile base 27 21 base/dirt3
tile base 26 21 base/dirt6
tile base 25 21 base/dirt3
tile base 24 21 base/dirt6
tile base 23 21 base/dirt6
tile base 22 21 base/dirt3
tile base 21 21 base/dirt0
tile base 20 21 base/dirt5
tile base 19 21 base/dirt6
tile base 18 21 base/dirt4
tile base 17 21 base/dirt5
tile base 16 21 base/dirt4
tile base 15 21 base/dirt6
tile base 14 21 base/dirt6
tile base 13 21 base/grass5
tile base 12 21 base/grass6
tile base 11 21 base/grass1
tile base 10 21 base/grass5
tile base 9 21 base/grass2
tile base 8 21 base/grass6
tile base 7 21 base/grass6
tile base 6 21 base/grass0
tile base 5 21 base/grass1
tile base 4 21 base/grass1
tile base 3 21 base/grass0
tile base 2 21 base/grass3
tile base 1 21 base/grass2
tile base 0 21 base/grass2
tile base 29 20 base/dirt3
tile base 28 20 base/dirt2
tile base 27 20 base/dirt5
tile base 26 20 base/dirt6
tile base 25 20 base/dirt2
tile base 24 20 base/dirt1
tile base 23 20 base/dirt4
tile base 22 20 base/dirt3
tile base 21 20 base/dirt6
tile base 20 20 base/dirt3
tile base 19 20 base/dirt1
tile base 18 20 base/dirt3
tile base 17 20 base/dirt0
tile base 16 20 base/dirt6
tile base 15 20 base/dirt0
tile base 14 20 base/dirt2
tile base 13 20 base/grass1
tile base 12 20 base/grass1
tile base 11 20 base/grass4
tile base 10 20 base/dirt5
tile base 9 20 base/grass0
tile base 8 20 base/grass4
tile base 7 20 base/grass5
tile base 6 20 base/grass4
tile base 5 20 base/grass0
tile base 4 20 base/grass2
tile base 3 20 base/grass4
tile base 2 20 base/grass1
tile base 1 20 base/grass2
tile base 0 20 base/grass6
tile base 29 19 base/dirt3
tile base 28 19 base/dirt1
tile base 27 19 base/dirt0
tile base 26 19 base/dirt5
tile base 25 19 base/dirt3
tile base 24 19 base/dirt5
tile base 23 19 base/dirt2
tile base 22 19 base/dirt2
tile base 21 19 base/dirt2
tile base 20 19 base/dirt2
tile base 19 19 base/dirt4
tile base 18 19 base/dirt2
tile base 17 19 base/dirt6
tile base 16 19 base/dirt1
tile base 15 19 base/dirt2
tile base 14 19 base/dirt4
tile base 13 19 base/grass3
tile base 12 19 base/dirt6
tile base 11 19 base/grass6
tile base 10 19 base/dirt6
tile base 9 19 base/dirt2
tile base 8 19 base/grass0
tile base 7 19 base/grass0
tile base 6 19 base/grass6
tile base 5 19 base/grass5
tile base 4 19 base/grass5
tile base 3 19 base/grass3
tile base 2 19 base/grass6
tile base 1 19 base/grass1
tile base 0 19 base/grass3
tile base 29 18 base/dirt2
tile base 28 18 base/dirt4
tile base 27 18 base/dirt3
tile base 26 18 base/dirt2
tile base 25 18 base/dirt0
tile base 24 18 base/dirt6
tile base 23 18 base/dirt5
tile base 22 18 base/stone3
tile base 21 18 base/dirt1
tile base 20 18 base/dirt0
tile base 19 18 base/dirt2
tile base 18 18 base/dirt4
tile base 17 18 base/dirt1
tile base 16 18 base/dirt5
tile base 15 18 base/dirt2
tile base 14 18 base/dirt3
tile base 13 18 base/dirt6
tile base 12 18 base/dirt1
tile base 11 18 base/dirt6
tile base 10 18 base/dirt3
tile base 9 18 base/dirt6
tile base 8 18 base/grass4
tile base 7 18 base/grass3
tile base 6 18 base/grass2
tile base 5 18 base/grass1
tile base 4 18 base/grass2
tile base 3 18 base/grass1
tile base 2 18 base/grass3
tile base 1 18 base/grass0
tile base 0 18 base/grass3
tile base 29 17 base/dirt2
tile base 28 17 base/dirt0
tile base 27 17 base/dirt3
tile base 26 17 base/dirt4
tile base 25 17 base/dirt3
tile base 24 17 base/dirt3
tile base 23 17 base/dirt2
tile base 22 17 base/stone4
tile base 21 17 base/stone4
tile base 20 17 base/dirt4
tile base 19 17 base/dirt1
tile base 18 17 base/dirt0
tile base 17 17 base/dirt4
tile base 16 17 base/dirt3
tile base 15 17 base/dirt2
tile base 14 17 base/dirt5
tile base 13 17 base/dirt2
tile base 12 17 base/dirt4
tile base 11 17 base/dirt4
tile base 10 17 base/dirt1
tile base 9 17 base/dirt3
tile base 8 17 base/grass0
tile base 7 17 base/grass2
tile base 6 17 base/grass1
tile base 5 17 base/grass1
tile base 4 17 base/grass3
tile base 3 17 base/grass2
tile base 2 17 base/grass3
tile base 1 17 base/grass2
tile base 0 17 base/grass2
tile base 29 16 base/dirt6
tile base 28 16 base/dirt3
tile base 27 16 base/dirt2
tile base 26 16 base/dirt1
tile base 25 16 base/dirt5
tile base 24 16 base/stone3
tile base 23 16 base/stone4
tile base 22 16 base/stone4
tile base 21 16 base/stone0
tile base 20 16 base/stone4
tile base 19 16 base/dirt0
tile base 18 16 base/dirt1
tile base 17 16 base/dirt2
tile base 16 16 base/dirt2
tile base 15 16 base/dirt5
tile base 14 16 base/dirt1
tile base 13 16 base/dirt6
tile base 12 16 base/dirt6
tile base 11 16 base/dirt2
tile base 10 16 base/dirt3
tile base 9 16 base/dirt6
tile base 8 16 base/dirt1
tile base 7 16 base/grass4
tile base 6 16 base/grass5
tile base 5 16 base/grass6
tile base 4 16 base/grass2
tile base 3 16 base/grass4
tile base 2 16 base/grass5
tile base 1 16 base/grass5
tile base 0 16 base/grass6
tile base 29 15 base/stone1
tile base 28 15 base/stone3
tile base 27 15 base/dirt4
tile base 26 15 base/dirt3
tile base 25 15 base/dirt4
tile base 24 15 base/stone1
tile base 23 15 base/stone2
tile base 22 15 base/stone4
tile base 21 15 base/stone1
tile base 20 15 base/stone4
tile base 19 15 base/dirt5
tile base 18 15 base/dirt5
tile base 17 15 base/dirt4
tile base 16 15 base/dirt0
tile base 15 15 base/dirt1
tile base 14 15 base/dirt2
tile base 13 15 base/dirt0
tile base 12 15 base/dirt2
tile base 11 15 base/dirt2
tile base 10 15 base/dirt5
tile base 9 15 base/dirt6
tile base 8 15 base/dirt2
tile base 7 15 base/dirt3
tile base 6 15 base/grass4
tile base 5 15 base/grass5
tile base 4 15 base/grass0
tile base 3 15 base/grass0
tile base 2 15 base/grass4
tile base 1 15 base/grass2
tile base 0 15 base/grass1
tile base 29 14 base/stone2
tile base 28 14 base/stone2
tile base 27 14 base/stone1
tile base 26 14 base/stone3
tile base 25 14 base/stone4
tile base 24 14 base/stone3
tile base 23 14 base/stone4
tile base 22 14 base/stone1
tile base 21 14 base/stone4
tile base 20 14 base/stone4
tile base 19 14 base/dirt3
tile base 18 14 base/dirt3
tile base 17 14 base/dirt4
tile base 16 14 base/dirt3
tile base 15 14 base/dirt4
tile base 14 14 base/dirt1
tile base 13 14 base/dirt6
tile base 12 14 base/dirt1
tile base 11 14 base/dirt4
tile base 10 14 base/dirt5
tile base 9 14 base/dirt1
tile base 8 14 base/dirt2
tile base 7 14 base/dirt1
tile base 6 14 base/dirt1
tile base 5 14 base/grass5
tile base 4 14 base/grass0
tile base 3 14 base/grass2
tile base 2 14 base/grass4
tile base 1 14 base/grass5
tile base 0 14 base/grass6
tile base 29 13 base/stone2
tile base 28 13 base/stone2
tile base 27 13 base/stone0
tile base 26 13 base/stone2
tile base 25 13 base/stone4
tile base 24 13 base/stone4
tile base 23 13 base/stone0
tile base 22 13 base/stone1
tile base 21 13 base/stone1
tile base 20 13 base/stone0
tile base 19 13 base/dirt0
tile base 18 13 base/dirt4
tile base 17 13 base/dirt3
tile base 16 13 base/dirt3
tile base 15 13 base/dirt0
tile base 14 13 base/dirt2
tile base 13 13 base/dirt6
tile base 12 13 base/dirt1
tile base 11 13 base/dirt1
tile base 10 13 base/dirt2
tile base 9 13 base/dirt2
tile base 8 13 base/dirt2
tile base 7 13 base/dirt0
tile base 6 13 base/dirt5
tile base 5 13 base/dirt5
tile base 4 13 base/dirt5
tile base 3 13 base/grass2
tile base 2 13 base/grass2
tile base 1 13 base/grass3
tile base 0 13 base/grass3
tile base 29 12 base/stone2
tile base 28 12 base/stone4
tile base 27 12 base/stone3
tile base 26 12 base/stone0
tile base 25 12 base/stone0
tile base 24 12 base/stone3
tile base 23 12 base/stone4
tile base 22 12 base/stone4
tile base 21 12 base/stone0
tile base 20 12 base/stone3
tile base 19 12 base/dirt4
tile base 18 12 base/dirt4
tile base 17 12 base/dirt0
tile base 16 12 base/dirt0
tile base 15 12 base/dirt6
tile base 14 12 base/dirt5
tile base 13 12 base/dirt4
tile base 12 12 base/dirt0
tile base 11 12 base/dirt5
tile base 10 12 base/dirt1
tile base 9 12 base/dirt3
tile base 8 12 base/dirt2
tile base 7 12 base/dirt0
tile base 6 12 base/dirt4
tile base 5 12 base/dirt1
tile base 4 12 base/dirt0
tile base 3 12 base/dirt1
tile base 2 12 base/dirt4
tile base 1 12 base/grass2
tile base 0 12 base/grass1
tile base 29 11 base/stone0
tile base 28 11 base/stone2
tile base 27 11 base/stone3
tile base 26 11 base/stone4
tile base 25 11 base/stone1
tile base 24 11 base/stone4
tile base 23 11 base/stone3
tile base 22 11 base/stone0
tile base 21 11 base/stone4
tile base 20 11 base/stone2
tile base 19 11 base/stone2
tile base 18 11 base/dirt5
tile base 17 11 base/dirt5
tile base 16 11 base/dirt1
tile base 15 11 base/dirt6
tile base 14 11 base/dirt5
tile base 13 11 base/dirt1
tile base 12 11 base/dirt0
tile base 11 11 base/dirt4
tile base 10 11 base/dirt0
tile base 9 11 base/dirt2
tile base 8 11 base/dirt5
tile base 7 11 base/dirt0
tile base 6 11 base/dirt1
tile base 5 11 base/dirt3
tile base 4 11 base/dirt0
tile base 3 11 base/dirt6
tile base 2 11 base/dirt3
tile base 1 11 base/dirt3
tile base 0 11 base/dirt6
tile base 29 10 base/stone2
tile base 28 10 base/stone4
tile base 27 10 base/stone4
tile base 26 10 base/stone4
tile base 25 10 base/stone4
tile base 24 10 base/stone0
tile base 23 10 base/stone4
tile base 22 10 base/stone2
tile base 21 10 base/stone4
tile base 20 10 base/stone4
tile base 19 10 base/stone4
tile base 18 10 base/stone2
tile base 17 10 base/dirt3
tile base 16 10 base/dirt1
tile base 15 10 base/dirt4
tile base 14 10 base/dirt3
tile base 13 10 base/dirt5
tile base 12 10 base/dirt2
tile base 11 10 base/dirt0
tile base 10 10 base/dirt0
tile base 9 10 base/dirt1
