name "Light Hammer"
description "Creates a light hammer.  The quality is dependant on your Craft Weapons skill."
skill "CraftWeapons"
skillRequirement 10
result "lighthammer"
resultQuantity 1
resultHasQuality "true
resultIsIngredient false
ingredient "bar_iron" 1
ingredient "bar_wood" 1
ingredient "coal" 2
qualityModifier 5 ""
qualityModifier 25 ""
qualityModifier 45 ""
qualityModifier 65 ""
qualityModifier 85 ""
qualityModifier 105 ""
qualityModifier 125 ""
qualityModifier 145 ""
