size 50 45
tileset outdoor
visibilityRadius 8
unexplored


encounter "wolves_lvl01" 8 26
encounter "wolves_lvl01" 18 8
encounter "wolves_lvl01" 26 18
encounter "wolves_lvl01" 21 31
encounter "forestRoad_merchant" 42 40
encounter "wolvesBoss_lvl02" 4 35
encounter "orcs_lvl01" 42 21
encounter "orcs_lvl01" 42 5

item 1 "ruraldoor_SW" 43 1
item 1 "spikeTrap" 9 34
item 1 "spikeTrap" 43 25
item 1 "rockTrap" 44 9
item 1 "armorstand_level05" 3 35
item 1 "chest_weapon_level05" 4 34

tile base 49 44 base/grass4
tile base 48 44 base/grass6
tile base 47 44 base/grass6
tile base 46 44 base/grass6
tile base 45 44 base/grass4
tile base 44 44 base/grass2
tile base 43 44 base/grass0
tile base 42 44 base/grass1
tile base 41 44 base/grass4
tile base 40 44 base/grass3
tile base 39 44 base/grass4
tile base 38 44 base/grass5
tile base 37 44 base/grass6
tile base 36 44 base/grass3
tile base 35 44 base/grass4
tile base 34 44 base/grass2
tile base 33 44 base/grass3
tile base 32 44 base/grass2
tile base 31 44 base/grass4
tile base 30 44 base/grass3
tile base 29 44 base/grass5
tile base 28 44 base/grass5
tile base 27 44 base/grass3
tile base 26 44 base/grass3
tile base 25 44 base/grass2
tile base 24 44 base/grass0
tile base 23 44 base/grass1
tile base 22 44 base/grass3
tile base 21 44 base/grass0
tile base 20 44 base/grass5
tile base 19 44 base/grass6
tile base 18 44 base/grass4
tile base 17 44 base/grass4
tile base 16 44 base/grass0
tile base 15 44 base/grass2
tile base 14 44 base/grass3
tile base 13 44 base/grass3
tile base 12 44 base/grass0
tile base 11 44 base/grass4
tile base 10 44 base/grass4
tile base 9 44 base/grass0
tile base 8 44 base/grass0
tile base 7 44 base/grass1
tile base 6 44 base/grass6
tile base 5 44 base/grass0
tile base 4 44 base/grass0
tile base 3 44 base/grass3
tile base 2 44 base/grass2
tile base 1 44 base/grass2
tile base 0 44 base/grass2
tile base 49 43 base/grass1
tile base 48 43 base/grass3
tile base 47 43 base/grass2
tile base 46 43 base/grass0
tile base 45 43 base/grass3
tile base 44 43 base/grass2
tile base 43 43 base/grass2
tile base 42 43 base/grass3
tile base 41 43 base/grass2
tile base 40 43 base/grass3
tile base 39 43 base/grass6
tile base 38 43 base/grass3
tile base 37 43 base/grass1
tile base 36 43 base/grass2
tile base 35 43 base/grass2
tile base 34 43 base/grass0
tile base 33 43 base/grass3
tile base 32 43 base/grass2
tile base 31 43 base/grass6
tile base 30 43 base/grass5
tile base 29 43 base/grass2
tile base 28 43 base/grass6
tile base 27 43 base/grass0
tile base 26 43 base/grass0
tile base 25 43 base/grass5
tile base 24 43 base/grass4
tile base 23 43 base/grass0
tile base 22 43 base/grass1
tile base 21 43 base/grass2
tile base 20 43 base/grass3
tile base 19 43 base/grass4
tile base 18 43 base/grass5
tile base 17 43 base/grass0
tile base 16 43 base/grass4
tile base 15 43 base/grass1
tile base 14 43 base/grass1
tile base 13 43 base/grass2
tile base 12 43 base/grass0
tile base 11 43 base/grass2
tile base 10 43 base/grass2
tile base 9 43 base/grass0
tile base 8 43 base/grass0
tile base 7 43 base/grass0
tile base 6 43 base/grass0
tile base 5 43 base/grass4
tile base 4 43 base/grass5
tile base 3 43 base/grass5
tile base 2 43 base/grass4
tile base 1 43 base/grass5
tile base 0 43 base/grass6
tile base 49 42 base/grass2
tile base 48 42 base/grass3
tile base 47 42 base/grass1
tile base 46 42 base/grass2
tile base 45 42 base/grass4
tile base 44 42 base/grass1
tile base 43 42 base/grass0
tile base 42 42 base/grass0
tile base 41 42 base/grass4
tile base 40 42 base/grass2
tile base 39 42 base/grass6
tile base 38 42 base/dirt0
tile base 37 42 base/grass1
tile base 36 42 base/dirt0
tile base 35 42 base/grass2
tile base 34 42 base/grass4
tile base 33 42 base/grass2
tile base 32 42 base/grass5
