size 25 20
tileset outdoor
visibilityRadius 8
unexplored


encounter "boss_lvl07" 5 2

item 1 "sonorinCanyonExitDoor" 7 1
item 1 "sonorinCanyonDoor" 9 16

tile base 24 19 base/desert0
tile base 23 19 base/desert5
tile base 22 19 base/desert3
tile base 21 19 base/desert1
tile base 20 19 base/desert0
tile base 19 19 base/desert2
tile base 18 19 base/desert2
tile base 17 19 base/desert4
tile base 16 19 base/desert0
tile base 15 19 base/desert5
tile base 14 19 base/desert3
tile base 13 19 base/desert7
tile base 12 19 base/desert2
tile base 11 19 base/desert4
tile base 10 19 base/desert5
tile base 9 19 base/desert2
tile base 8 19 base/desert7
tile base 7 19 base/desert0
tile base 6 19 base/desert6
tile base 5 19 base/desert5
tile base 4 19 base/desert6
tile base 3 19 base/desert1
tile base 2 19 base/desert3
tile base 1 19 base/desert2
tile base 0 19 base/desert6
tile base 24 18 base/desert0
tile base 23 18 base/desert5
tile base 22 18 base/desert6
tile base 21 18 base/desert5
tile base 20 18 base/desert0
tile base 19 18 base/desert7
tile base 18 18 base/desert4
tile base 17 18 base/desert2
tile base 16 18 base/desert5
tile base 15 18 base/desert1
tile base 14 18 base/desert6
tile base 13 18 base/desert3
tile base 12 18 base/desert4
tile base 11 18 base/desert6
tile base 10 18 base/desert5
tile base 9 18 base/desert0
tile base 8 18 base/desert6
tile base 7 18 base/desert1
tile base 6 18 base/desert5
tile base 5 18 base/desert2
tile base 4 18 base/desert2
tile base 3 18 base/desert4
tile base 2 18 base/desert6
tile base 1 18 base/desert0
tile base 0 18 base/desert3
tile base 24 17 base/desert4
tile base 23 17 base/desert3
tile base 22 17 base/desert4
tile base 21 17 base/desert0
tile base 20 17 base/desert3
tile base 19 17 base/desert2
tile base 18 17 base/desert5
tile base 17 17 base/desert4
tile base 16 17 base/desert6
tile base 15 17 base/desert2
tile base 14 17 base/desert2
tile base 13 17 base/desert5
tile base 12 17 base/desert7
tile base 11 17 base/desert2
tile base 10 17 base/desert1
tile base 9 17 base/desert0
tile base 8 17 base/desert2
tile base 7 17 base/desert3
tile base 6 17 base/desert6
tile base 5 17 base/desert6
tile base 4 17 base/desert5
tile base 3 17 base/desert6
tile base 2 17 base/desert4
tile base 1 17 base/desert3
tile base 0 17 base/desert6
tile base 24 16 base/desert1
tile base 23 16 base/desert4
tile base 22 16 base/desert3
tile base 21 16 base/desert2
tile base 20 16 base/desert5
tile base 19 16 base/desert6
tile base 18 16 base/desert7
tile base 17 16 base/desert4
tile base 16 16 base/desert1
tile base 15 16 base/desert3
tile base 14 16 base/desert2
tile base 13 16 base/desert0
tile base 12 16 base/desert1
tile base 11 16 base/desert5
tile base 10 16 base/desert6
tile base 9 16 base/desert3
tile base 8 16 base/desert1
tile base 7 16 base/desert3
tile base 6 16 base/desert5
tile base 5 16 base/desert3
tile base 4 16 base/desert2
tile base 3 16 base/desert6
tile base 2 16 base/desert5
tile base 1 16 base/desert5
tile base 0 16 base/desert6
tile base 24 15 base/desert5
tile base 23 15 base/desert4
tile base 22 15 base/desert3
tile base 21 15 base/desert3
tile base 20 15 base/desert1
tile base 19 15 base/desert7
tile base 18 15 base/desert3
tile base 17 15 base/desert5
tile base 16 15 base/desert5
tile base 15 15 base/desert2
tile base 14 15 base/desert3
tile base 13 15 base/desert5
tile base 12 15 base/desert2
tile base 11 15 base/desert3
tile base 10 15 base/desert5
tile base 9 15 base/desert7
tile base 8 15 base/desert1
tile base 7 15 base/desert2
tile base 6 15 base/desert2
tile base 5 15 base/desert4
