name "Longbow"
description "Creates a longbow. The quality is dependant on your Craft Weapons skill."
skill "CraftWeapons"
skillRequirement 35
result "longbow"
resultQuantity 1
resultHasQuality "true
resultIsIngredient false
ingredient "bar_iron" 1
ingredient "bar_wood" 2
ingredient "coal" 3
ingredient "wire" 3
qualityModifier 30 ""
qualityModifier 50 ""
qualityModifier 70 ""
qualityModifier 90 ""
qualityModifier 110 ""
qualityModifier 130 ""
qualityModifier 145 ""
qualityModifier 165 ""
