name "Dispell"
type "Restoration"
description "Dispell is an effective general use spell which can remove a wide variety of negative status effects from a single touched target.  For each spell effect on the target which is affected by spell resistance, dispell makes a check against the effect's spell level.  If the check succeeds, the effect is removed.  Dispell can remove up to two effects in this manner.  The order in which effects are tested is random."
activateable true
fixed true
cooldown 9

icon "icons/dispell"
scriptFile "spells/dispell"

spell true
spellLevel 2
verbalComponent true
somaticComponent true
spellResistance false

actionPointCost 6000

actionType Tactical
groupType Single
rangeType Touch
aiPower 20
aiPriority 3

addPrereq Stat CasterLevel 4

upgrade "GreaterDispell" "With Greater Dispell, your Dispell attempts become more difficult to resist, and you can remove up to five effects per dispell attempt."
