name "Belt of Constitution"
description "Adds a constitution enchantment to a belt.  The amount of the bonus depends on your enchanting skill."
skill "Enchanting"
skillRequirement 45
resultQuantity 1
resultHasQuality "true
anyItemOfTypeIngredient "BELT"
resultIsIngredient true
ingredient "crystal_blue" 1
ingredient "bar_lead" 1
ingredient "shell" 2
qualityModifier 35 "entity.addBonus('Con',  1);"
qualityModifier 55 "entity.addBonus('Con',  2);"
qualityModifier 75 "entity.addBonus('Con',  3);"
qualityModifier 95 "entity.addBonus('Con',  4);"
qualityModifier 115 "entity.addBonus('Con',  5);"
qualityModifier 135 "entity.addBonus('Con',  6);"
qualityModifier 155 "entity.addBonus('Con',  7);"
qualityModifier 175 "entity.addBonus('Con',  8);"
