name "Enhance Damage"
description "Enchants a weapon with a bonus to damage.  The amount of the bonus is dependant on your Enchanting skill."
skill "Enchanting"
skillRequirement 10
resultQuantity 1
resultHasQuality "true
anyItemOfTypeIngredient "WEAPON"
resultIsIngredient true
ingredient "bar_silver" 2
ingredient "gem03" 2
qualityModifier 5 "entity.addBonus('WeaponDamage',  5);"
qualityModifier 20 "entity.addBonus('WeaponDamage',  10);"
qualityModifier 40 "entity.addBonus('WeaponDamage',  15);"
qualityModifier 60 "entity.addBonus('WeaponDamage',  20);"
qualityModifier 80 "entity.addBonus('WeaponDamage', 25);"
qualityModifier 100 "entity.addBonus('WeaponDamage', 30);"
qualityModifier 120 "entity.addBonus('WeaponDamage', 35);"
qualityModifier 140 "entity.addBonus('WeaponDamage', 40);"
