name "Rock Trap"
description "Creates a crushing rock trap.  The quality of the trap is dependant on your Traps skill."
skill "Traps"
skillRequirement 20
result "rockTrap"
resultQuantity 1
resultHasQuality "true
resultIsIngredient false
ingredient "wire" 2
ingredient "pressure_plate" 1
ingredient "stone" 5
qualityModifier 5 ""
qualityModifier 30 ""
qualityModifier 50 ""
qualityModifier 70 ""
qualityModifier 90 ""
qualityModifier 110 ""
qualityModifier 130 ""
qualityModifier 150 ""
